Ceremony,Edition,Year,Category,Nominee/Winner,Film,Winner/Nominee Status,Note
Iran Cinema Celebration Awards,17,2013,Best Director,Mohammad Hossein Latifi,The Last Step,Winner,
Iran Cinema Celebration Awards,18,2014,Best Director,Asghar Farhadi,About Elly,Winner,
Iran Cinema Celebration Awards,19,2015,Best Director,Ida Panahandeh,Nahid,Winner,
Iran Cinema Celebration Awards,20,2016,Best Director,Reza Mirkarimi,Daughter,Winner,
Iran Cinema Celebration Awards,21,2017,Best Director,Vahid Jalilvand,"No Date, No Signature",Winner,
Iran Cinema Celebration Awards,22,2018,Best Director,Mani Haghighi,Pig,Winner,
Iran Cinema Celebration Awards,23,2019,Best Director,Saeed Roustayi,Just 6.5,Winner,
Iran Cinema Celebration Awards,1,1997,Best Actor,Parviz Parastui,The Snowman,Winner,
Iran Cinema Celebration Awards,2,1998,Best Actor,Parviz Parastui,Hamoun,Winner,
Iran Cinema Celebration Awards,3,1999,Best Actor,Amin Hayai,The Glass Agency,Winner,
Iran Cinema Celebration Awards,4,2000,Best Actor,Mohammad Reza Sharifinia,Deserted Station,Winner,
Iran Cinema Celebration Awards,5,2001,Best Actor,Farramarz Gharibian,"The Smell of Camphor, Fragrance of Jasmine",Winner,
Iran Cinema Celebration Awards,6,2002,Best Actor,Hossein Abedini,Crimson Gold,Winner,
Iran Cinema Celebration Awards,7,2003,Best Actor,Parviz Parastui,The Lizard,Winner,
Iran Cinema Celebration Awards,8,2004,Best Actor,Reza Kianian,Boutique,Winner,
Iran Cinema Celebration Awards,9,2005,Best Actor,Reza Kianian,Mainline,Winner,
Iran Cinema Celebration Awards,10,2006,Best Actor,Babak Hamidian,Deserted Station,Winner,
Iran Cinema Celebration Awards,11,2007,Best Actor,Parviz Parastui,The Holy Spider,Winner,
Iran Cinema Celebration Awards,12,2008,Best Actor,Peyman Moaadi,A Separation,Winner,
Iran Cinema Celebration Awards,13,2009,Best Actor,Shahab Hosseini,A Separation,Winner,
Iran Cinema Celebration Awards,14,2010,Best Actor,Shahab Hosseini,The Hunter,Winner,
Iran Cinema Celebration Awards,15,2011,Best Actor,Peyman Moaadi,A Separation,Winner,
Iran Cinema Celebration Awards,16,2012,Best Actor,Ali Mosaffa,The Past,Winner,
Iran Cinema Celebration Awards,17,2013,Best Actor,Hamed Behdad,Today,Winner,
Iran Cinema Celebration Awards,18,2014,Best Actor,Navid Mohammadzadeh,Manuscript Found in Saragossa,Winner,
Iran Cinema Celebration Awards,19,2015,Best Actor,Navid Mohammadzadeh,Today,Winner,
Iran Cinema Celebration Awards,20,2016,Best Actor,Shahab Hosseini,The Salesman,Winner,
Iran Cinema Celebration Awards,21,2017,Best Actor,Amir Aghaei,"No Date, No Signature",Winner,
Iran Cinema Celebration Awards,22,2018,Best Actor,Hassan Majuni,Pig,Winner,
Iran Cinema Celebration Awards,23,2019,Best Actor,Navid Mohammadzadeh,Just 6.5,Winner,
Iran Cinema Celebration Awards,1,1997,Best Actress,Hedieh Tehrani,The Snowman,Winner,
Iran Cinema Celebration Awards,2,1998,Best Actress,Hedieh Tehrani,The Tenants,Winner,
Iran Cinema Celebration Awards,3,1999,Best Actress,Maryam Moqadam,Colour of Paradise,Winner,
Iran Cinema Celebration Awards,4,2000,Best Actress,Mahaya Petrosian,Daughters of the Sun,Winner,
Iran Cinema Celebration Awards,5,2001,Best Actress,Leila Hatami,"The Smell of Camphor, Fragrance of Jasmine",Winner,
Iran Cinema Celebration Awards,6,2002,Best Actress,Baran Kosari,Women's Prison,Winner,
Iran Cinema Celebration Awards,7,2003,Best Actress,Taraneh Alidoosti,Café Transit,Winner,
Iran Cinema Celebration Awards,8,2004,Best Actress,Hediyeh Tehrani,Marmoulak,Winner,
Iran Cinema Celebration Awards,9,2005,Best Actress,Hanieh Tavassoli,Mainline,Winner,
Iran Cinema Celebration Awards,10,2006,Best Actress,Niki Karimi,One Night,Winner,
Iran Cinema Celebration Awards,11,2007,Best Actress,Golab Adineh,Traces of the Wind,Winner,
Iran Cinema Celebration Awards,12,2008,Best Actress,Leila Hatami,A Separation,Winner,
Iran Cinema Celebration Awards,13,2009,Best Actress,Taraneh Alidoosti,A Separation,Winner,
Iran Cinema Celebration Awards,14,2010,Best Actress,Merila Zarei,The Hunter,Winner,
Iran Cinema Celebration Awards,15,2011,Best Actress,Leila Hatami,A Separation,Winner,
Iran Cinema Celebration Awards,16,2012,Best Actress,Berenice Bejo,The Past,Winner,
Iran Cinema Celebration Awards,17,2013,Best Actress,Baran Kosari,Today,Winner,
Iran Cinema Celebration Awards,18,2014,Best Actress,Shahab Hosseini,About Elly,Winner,
Iran Cinema Celebration Awards,19,2015,Best Actress,Sareh Bayat,Nahid,Winner,
Iran Cinema Celebration Awards,20,2016,Best Actress,Negar Javaherian,Daughter,Winner,
Iran Cinema Celebration Awards,21,2017,Best Actress,Sahar Dolatshahi,"No Date, No Signature",Winner,
Iran Cinema Celebration Awards,22,2018,Best Actress,Setareh Pesiani,Pig,Winner,
Iran Cinema Celebration Awards,23,2019,Best Actress,Parinaz Izadyar,Just 6.5,Winner,
Iran Cinema Celebration Awards,7,2003,Best Supporting Actor,Mehdi Hashemi,The Lizard,Winner,
Iran Cinema Celebration Awards,8,2004,Best Supporting Actor,Akbar Zanjanpour,Boutique,Winner,
Iran Cinema Celebration Awards,9,2005,Best Supporting Actor,Reza Kianian,The Last Act,Winner,
Iran Cinema Celebration Awards,10,2006,Best Supporting Actor,Hamid Farrokhnezhad,Deserted Station,Winner,
Iran Cinema Celebration Awards,11,2007,Best Supporting Actor,Faramarz Gharibian,"Bashu, the Little Stranger",Winner,
Iran Cinema Celebration Awards,12,2008,Best Supporting Actor,Ali Asghar Shahbazi,A Separation,Winner,
Iran Cinema Celebration Awards,13,2009,Best Supporting Actor,Shahab Hosseini,The Last Step,Winner,
Iran Cinema Celebration Awards,14,2010,Best Supporting Actor,Babak Hamidian,The Hunter,Winner,
Iran Cinema Celebration Awards,15,2011,Best Supporting Actor,Saber Abar,A Separation,Winner,
Iran Cinema Celebration Awards,16,2012,Best Supporting Actor,Ali Mosaffa,The Past,Winner,
Iran Cinema Celebration Awards,17,2013,Best Supporting Actor,Reza Kianian,Today,Winner,
Iran Cinema Celebration Awards,18,2014,Best Supporting Actor,Shahab Hosseini,About Elly,Winner,
Iran Cinema Celebration Awards,19,2015,Best Supporting Actor,Navid Mohammadzadeh,Nahid,Winner,
Iran Cinema Celebration Awards,20,2016,Best Supporting Actor,Mohammad Reza Sharifinia,Daughter,Winner,
Iran Cinema Celebration Awards,21,2017,Best Supporting Actor,Mostafa Zamani,"No Date, No Signature",Winner,
Iran Cinema Celebration Awards,22,2018,Best Supporting Actor,Hassan Majuni,Pig,Winner,
Iran Cinema Celebration Awards,23,2019,Best Supporting Actor,Javad Ezati,Just 6.5,Winner,
Iran Cinema Celebration Awards,7,2003,Best Supporting Actress,Hengameh Ghaziani,The Lizard,Winner,
Iran Cinema Celebration Awards,8,2004,Best Supporting Actress,Golab Adineh,Boutique,Winner,
Iran Cinema Celebration Awards,9,2005,Best Supporting Actress,Hedieh Tehrani,Mainline,Winner,
Iran Cinema Celebration Awards,10,2006,Best Supporting Actress,Negar Javaherian,One Night,Winner,
Iran Cinema Celebration Awards,11,2007,Best Supporting Actress,Hanie Tavassoli,Traces of the Wind,Winner,
Iran Cinema Celebration Awards,12,2008,Best Supporting Actress,Sareh Bayat,A Separation,Winner,
Iran Cinema Celebration Awards,13,2009,Best Supporting Actress,Pantea Bahram,The Last Step,Winner,
Iran Cinema Celebration Awards,14,2010,Best Supporting Actress,Baran Kosari,The Hunter,Winner,
Iran Cinema Celebration Awards,15,2011,Best Supporting Actress,Sareh Bayat,A Separation,Winner,
Iran Cinema Celebration Awards,16,2012,Best Supporting Actress,Berenice Bejo,The Past,Winner,
Iran Cinema Celebration Awards,17,2013,Best Supporting Actress,Parinaz Izadyar,Today,Winner,
Iran Cinema Celebration Awards,18,2014,Best Supporting Actress,Niki Karimi,About Elly,Winner,
Iran Cinema Celebration Awards,19,2015,Best Supporting Actress,Baran Kosari,Nahid,Winner,
Iran Cinema Celebration Awards,20,2016,Best Supporting Actress,Hengameh Ghaziani,Daughter,Winner,
Iran Cinema Celebration Awards,21,2017,Best Supporting Actress,Pantea Panahiha,"No Date, No Signature",Winner,
Iran Cinema Celebration Awards,22,2018,Best Supporting Actress,Taraneh Alidoosti,Pig,Winner,
Iran Cinema Celebration Awards,23,2019,Best Supporting Actress,Baran Kosari,Just 6.5,Winner,
Iran Cinema Celebration Awards,5,2001,Best Screenplay,Jafar Panahi,The Circle,Winner,
Iran Cinema Celebration Awards,6,2002,Best Screenplay,Abbas Kiarostami,Crimson Gold,Winner,
Iran Cinema Celebration Awards,7,2003,Best Screenplay,Masoud Dehnamaki,The Lizard,Winner,
Iran Cinema Celebration Awards,8,2004,Best Screenplay,Majid Majidi,Baran,Winner,
Iran Cinema Celebration Awards,9,2005,Best Screenplay,Rakhshan Bani-Etemad,Mainline,Winner,
Iran Cinema Celebration Awards,10,2006,Best Screenplay,Bahram Beyzai,Crow Egg,Winner,
Iran Cinema Celebration Awards,11,2007,Best Screenplay,Bahram Beyzai,"Bashu, the Little Stranger",Winner,
Iran Cinema Celebration Awards,12,2008,Best Screenplay,Asghar Farhadi,A Separation,Winner,
Iran Cinema Celebration Awards,13,2009,Best Screenplay,Vahid Jalilvand,"Wednesday, May 9",Winner,
Iran Cinema Celebration Awards,14,2010,Best Screenplay,Rafi Pitts,The Hunter,Winner,
Iran Cinema Celebration Awards,15,2011,Best Screenplay,Asghar Farhadi,A Separation,Winner,
Iran Cinema Celebration Awards,16,2012,Best Screenplay,Asghar Farhadi,The Past,Winner,
Iran Cinema Celebration Awards,17,2013,Best Screenplay,Mohammad Rasoulof,Manuscripts Don't Burn,Winner,
Iran Cinema Celebration Awards,18,2014,Best Screenplay,Asghar Farhadi,About Elly,Winner,
Iran Cinema Celebration Awards,19,2015,Best Screenplay,Ida Panahandeh,Nahid,Winner,
Iran Cinema Celebration Awards,20,2016,Best Screenplay,Reza Mirkarimi,Daughter,Winner,
Iran Cinema Celebration Awards,21,2017,Best Screenplay,Vahid Jalilvand,"No Date, No Signature",Winner,
Iran Cinema Celebration Awards,22,2018,Best Screenplay,Mani Haghighi,Pig,Winner,
Iran Cinema Celebration Awards,23,2019,Best Screenplay,Saeed Roustayi,Just 6.5,Winner,
Iran Cinema Celebration Awards,10,2006,Best Cinematography,Mahmoud Kalari,One Night,Winner,
Iran Cinema Celebration Awards,11,2007,Best Cinematography,Reza Badii,"Bashu, the Little Stranger",Winner,
Iran Cinema Celebration Awards,12,2008,Best Cinematography,Hossein Jafarian,A Separation,Winner,
Iran Cinema Celebration Awards,13,2009,Best Cinematography,Reza Badii,The Last Step,Winner,
Iran Cinema Celebration Awards,14,2010,Best Cinematography,Mohammad Davudi,The Hunter,Winner,
Iran Cinema Celebration Awards,15,2011,Best Cinematography,Mahmoud Kalari,A Separation,Winner,
Iran Cinema Celebration Awards,16,2012,Best Cinematography,Hooman Behmanesh,The Past,Winner,
Iran Cinema Celebration Awards,17,2013,Best Cinematography,Hossein Jafarian,Manuscripts Don't Burn,Winner,
Iran Cinema Celebration Awards,18,2014,Best Cinematography,Hossein Jafarian,About Elly,Winner,
Iran Cinema Celebration Awards,19,2015,Best Cinematography,Mohammad Davudi,Nahid,Winner,
Iran Cinema Celebration Awards,20,2016,Best Cinematography,Hossein Jafarian,Daughter,Winner,
Iran Cinema Celebration Awards,21,2017,Best Cinematography,Homayun Payvar,"No Date, No Signature",Winner,
Iran Cinema Celebration Awards,22,2018,Best Cinematography,Arash Ramezani,Pig,Winner,
Iran Cinema Celebration Awards,23,2019,Best Cinematography,Hooman Behmanesh,Just 6.5,Winner,
Iran Cinema Celebration Awards,12,2008,Best Editing,Hayedeh Safiyari,A Separation,Winner,
Iran Cinema Celebration Awards,13,2009,Best Editing,Mustafa Kharg-Pole,The Last Step,Winner,
Iran Cinema Celebration Awards,14,2010,Best Editing,Hassan Hassandoost,The Hunter,Winner,
Iran Cinema Celebration Awards,15,2011,Best Editing,Hayedeh Safiyari,A Separation,Winner,
Iran Cinema Celebration Awards,16,2012,Best Editing,Juliette Welfling,The Past,Winner,
Iran Cinema Celebration Awards,17,2013,Best Editing,Mastaneh Mohajer,Manuscripts Don't Burn,Winner,
Iran Cinema Celebration Awards,18,2014,Best Editing,Hayedeh Safiyari,About Elly,Winner,
Iran Cinema Celebration Awards,19,2015,Best Editing,Mastaneh Mohajer,Nahid,Winner,
Iran Cinema Celebration Awards,20,2016,Best Editing,Mastaneh Mohajer,Daughter,Winner,
Iran Cinema Celebration Awards,21,2017,Best Editing,Hayedeh Safiyari,"No Date, No Signature",Winner,
Iran Cinema Celebration Awards,22,2018,Best Editing,Kartik Krishnan,Pig,Winner,
Iran Cinema Celebration Awards,23,2019,Best Editing,Mostafa Kherghehpoush,Just 6.5,Winner,
Iran Cinema Celebration Awards,12,2008,Best Music,Satar Oraki,A Separation,Winner,
Iran Cinema Celebration Awards,13,2009,Best Music,Ali Karimi,The Last Step,Winner,
Iran Cinema Celebration Awards,14,2010,Best Music,Christoph M. Kaiser,The Hunter,Winner,
Iran Cinema Celebration Awards,15,2011,Best Music,Satar Oraki,A Separation,Winner,
Iran Cinema Celebration Awards,16,2012,Best Music,Alexandre Desplat,The Past,Winner,
Iran Cinema Celebration Awards,17,2013,Best Music,Ahmad Pejman,Manuscripts Don't Burn,Winner,
Iran Cinema Celebration Awards,18,2014,Best Music,Fereydoun Shahbazian,About Elly,Winner,
Iran Cinema Celebration Awards,19,2015,Best Music,Ahmad Pejman,Nahid,Winner,
Iran Cinema Celebration Awards,20,2016,Best Music,Peyman Yazdanian,Daughter,Winner,
Iran Cinema Celebration Awards,21,2017,Best Music,Christoph M. Kaiser,"No Date, No Signature",Winner,
Iran Cinema Celebration Awards,22,2018,Best Music,Ahmad Pejman,Pig,Winner,
Iran Cinema Celebration Awards,23,2019,Best Music,Peyman Yazdanian,Just 6.5,Winner,
