award_show,category,year,winner,film,notes
Lux Style Awards,Best Video Director,2004,Shoaib Mansoor,Anarkali,Sohail Javed-Jogi Ghazali Farooqui-Janbaaz Jami-Chaaye Chaaye Jami-Akhiyaan
Lux Style Awards,Chairperson's Lifetime Achievement Award (Male),2004,Muhammad Ali,,
Lux Style Awards,Chairperson's Lifetime Achievement Award (Female),2004,Zeba,,
Lux Style Awards,Best Television Play (PTV),2005,Hum Se Juda Na Hona,,Pooray Chaand Ki Raat Pani Pe Nam Pataal Mah-e-Neem Shab
Lux Style Awards,Best Television Director (PTV),2005,Ayub Khawar,Pataal,??
Lux Style Awards,Best Television Actor (PTV),2005,Humayun Saeed,Hum Se Juda Na Hona,Izhar Qazi-Pani Pe Nam Usman Peerzada-Pataal Sohail Asghar-Mah-e-Neem Shab Arbaaz Khan-Sassi
Lux Style Awards,Best Television Actress (PTV),2005,Sadia Imam,Hum Se Juda Na Hona,Naheed Shabbir-Bezubaan Sara Loren-Mah-e-Neem Shab Uzma Gillani-Pataal Wajeeha Ali-Pooray Chand Ki Raat
Lux Style Awards,Best Television Play (Satellite),2005,Ana,Geo TV,Moorat-ARY Digital Jaisay Jante Nahi-ARY Digital Rustam Aur Sohrab-Indus Vision Wujood-e-Laraib-Indus Vision Woh Tees Din-Geo TV
Lux Style Awards,Best Television Director (Satellite),2005,Anjum Shahzad,Woh Tees Din,??
Lux Style Awards,Best Television Actor (Satellite),2005,Faisal Qureshi,Main Aur Tum (ARY Digital),Nadeem Baig-Jaise Jante Nahi (ARY Digital) Abid Ali-Moorat (ARY Digital) Firdous Jamal-Woh Tees Din (Geo TV) Sajid Hassan-Yad To Ayenge (Geo TV) Talat Hussain-Ana (Geo TV)
Lux Style Awards,Best Television Actress (Satellite),2005,Reema Khan,Yad Toh Ayenge (Geo TV),Maria Wasti-Moorat (ARY Digital) Saba Hameed-Woh Tees Din (Geo TV) Samina Peerzada-Ana (Geo TV) Atiqa Odho-Dhool (ARY Digital)
Lux Style Awards,Best Video Director,2005,Asim Raza,Mahi Vay,Saqib Malik-Khamaj Jami-Dhaani Ahsan Rahim & Amina Khan-Rangeen Jami-Chal Dil Meray
Lux Style Awards,Best Album of the Year,2005,Nachan Main Audhay Naal,Abrar Ul Haq,"Aadat-Jal Jal Pari-Atif Aslam Sampooran-Mekaal Hasan Band Mazi, Haal, Mustaqbil-Mizraab"
Lux Style Awards,Best Band of the Year,2005,Mekaal Hasan Band,,N/A
Lux Style Awards,Best Film,2006,,Koi Tujh Sa Kahan,
Lux Style Awards,Best Film Actor,2006,Moammar Rana,Koi Tujh Sa Kahan,
Lux Style Awards,Best Film Actress,2006,Reema Khan,Koi Tujh Sa Kahan,
Lux Style Awards,Best Television Play (PTV),2006,Sassi,,Aadhi Dhoop Batain Dil Ki Masuri Matti
Lux Style Awards,Best Television Director (PTV),2006,Tariq Mairaj,Aadhi Dhoop,Sajjad Ahmed-Matti Ataullah Balouch-Matti Ki Moorat Zeba Bakhtiar-Masuri M. Usama & Zulfiqar-Sassi
Lux Style Awards,Best Television Actor (PTV),2006,Noman Ijaz,Sassi,Arbaaz Khan-Sassi Raja Haider-Aadhi Dhoop Faisal Rehman-Batain Dil Ki Faysal Quraishi-Masuri
Lux Style Awards,Best Television Actress (PTV),2006,Saira Khan,Beti,Shagufta Ejaz-Beti Sabreen Hisbani-Masuri Pushpa Narain-Masuri Robina Naz-Aadhi Dhoop
Lux Style Awards,Best Television Play (Satellite),2006,Riyasat,ARY Digital,Lahaasil-Hum TV) Mere Paas Paas-Hum TV Bano Ko Pehchano-Geo TV Yeh Bhi Kisi Ki Bayti Hai-Geo TV
Lux Style Awards,Best Television Director (Satellite),2006,Angeline Malik,Lahaasil (Hum TV),Misbah Khalid-Mere Paas Paas (Hum TV) Ataullah Balouch-Siskiyan (Indus Vision) Kamran Qureshi-Riyasat (ARY Digital) Salman Shahid-Bano Ko Pehchano (Geo TV) Ayub Khawar-Yeh Bhi Kisi Ki Bayti Hai (Geo T
Lux Style Awards,Best Television Actor (Satellite),2006,Talat Hussain,Yeh Bhi Kisi Ki Bayti Hai (Geo TV),Moammar Rana-Mere Paas Paas (Hum TV) Faysal Quraishi-Jaye Kahan Ye Dil (Geo TV) Salman Shahid-Bano Ko Pehchano (Geo TV) Talat Hussain-Riyasat (ARY Digital)
Lux Style Awards,Best Television Actress (Satellite),2006,Maria Wasti,Riyasat (ARY Digital),Nadia Jamil-Mere Paas Paas (Hum TV) Angeline Malik-Lahaasil (Hum TV) Farah Shah-Partition Aik Safar (Geo TV) Iffat Rahim-Bano Ko Pehchano (Geo TV)
Lux Style Awards,Best Album of the Year,2006,Social Circus,Ali Azmat,Peeli Patti Aur Raja Jani Ki Gol Dunya-Noori Burri Baat Hai-Shehzad Roy Jhuki Jhuki-Sheraz Uppal Jilawatan-Call
Lux Style Awards,Best Video Director,2006,Saqib Malik,Na Re Na,Ammar Belal-My Favourite Dream Uns Mufti-Main Hoon Na Xulfi-Irtiqa Zeeshan Parwez-Freestyle Diva
Lux Style Awards,Best Live Act,2006,Overlord,,Fuzon Mekaal Hasan Band Noori Sajjad Ali
Lux Style Awards,Most Inspirational Devotional Album,2006,Junaid Jamshed,Jalwa-e-Janan,N/A
Lux Style Awards,Best Film,2007,,Majajan,
Lux Style Awards,Best Film Director,2007,Syed Noor,Majajan,
Lux Style Awards,Best Film Actor,2007,Shaan,Majajan,
Lux Style Awards,Best Film Actress,2007,Saima Noor,Majajan,
Lux Style Awards,Best Television Play (PTV),2007,Kath Putli,,Malangi Sadoori Gharoor Gul Bashra
Lux Style Awards,Best Television Director (PTV),2007,Sajjad Ahmed,Gul Bashra,Kazim Pasha-Kath Putli Ataullah Balouch-Sadoori Tahir-Gharoor Shahid Zahoor-Malangi
Lux Style Awards,Best Television Actor (PTV),2007,Noman Ijaz,Malangi,Ayub Khoso-Sadoori Shakeel-Gharoor Farhan Ali Agha-Kath Putli Imran Urooj-Gul Bashra
Lux Style Awards,Best Television Actress (PTV),2007,Samina Peerzada,Kath Putli,Beenish Chohan-Sadoori Saba Hameed-Gharoor Sophia Mirza-Gul Bashra Sara Chaudhry-Malangi
Lux Style Awards,Best Television Play (Satellite),2007,Kuch Dil Ne Kaha,Geo TV,"Noori-Indus Vision Pehchaan-Hum TV Dohri-ARY Digital Dil, Diya, Dehleez-Hum TV"
Lux Style Awards,Best Television Director (Satellite),2007,Babar Javed,Kuch Dil Ne Kaha (Geo TV),Allah Bachayo Kalhoro-Noori (Indus Vision) Saleem Deswali-Dohri (ARY Digital) Kamran Qureshi-Makan (Geo TV)
Lux Style Awards,Best Television Actor (Satellite),2007,Noman Ijaz,Dohri (ARY Digital),"Javed Sheikh- Kuch Dil Ne Kaha (Geo TV) Sohail Asghar-Noori (Indus Vision) Shafi Muhammad-Noori (Indus Vision) Humayun Saeed-Tere Ishq Mein (Geo Tv) Moammar Rana-Dil, Diya, Dehleez (Hum TV)"
Lux Style Awards,Best Television Actress (Satellite),2007,Bushra Ansari,Kuch Dil Ne Kaha (Geo TV),Saba Hameed-Tere Ishq Mein (Geo TV) Sadia Imam-Dohri (ARY Digital) Sonia Rehman-Pehchaan (Hum TV) Maria Wasti-Kuch Dil Ne Kaha (Geo TV)
Lux Style Awards,Best Album of the Year,2007,Doorie,Atif Aslam,Sun Re-Abbas Ali Khan Wajj-Arieb Azhar One Light Year at Snail Speed-Sajid & Zeshan Masty-Ali Zafar Raeth-Raeth
Lux Style Awards,Best Video Director,2007,Sohail Javed,Ishq,Sohail Javed-Chal Rein De Uns Mufti-Sailing Fast Zeeshan Parwez-Teri Parchaiyan Mandana Zaidi-Mere Log
Lux Style Awards,Best Live Act,2007,Mekaal Hasan Band,,Atif Aslam Strings Overload Sajid & Zeeshan
Lux Style Awards,Film - Best Film,2008,,Khuda Kay Liye,N/A
Lux Style Awards,Film - Best Film Actor,2008,Shaan Shahid,Khuda Kay Liye,N/A
Lux Style Awards,Film - Best Film Actress,2008,Iman Ali,Khuda Kay Liye,N/A
Lux Style Awards,Film - Best Original Soundtrack,2008,Khuda Kay Liye,Rohail Hayat,N/A
Lux Style Awards,Television - Best Television Play (Terrestrial),2008,Lyari Express,(PTV),Hazaron Khwahishen-ATV Meray Dard Ko Jo Zuban Miley-PTV Sukhan-ATV Yaadain-PTV
Lux Style Awards,Television - Best Television Actor (Terrestrial),2008,Asif Raza Mir,Meray Dard Ko Jo Zuban Miley (PTV),Mehmood Aslam-Hazaron Khwahishen (ATV) Shabbir Jan-Lyari Express (PTV) Shafi Muhammad-Sukhan (ATV) Waqas Khan-Hazaron Khwahishen (ATV)
Lux Style Awards,Television - Best Television Actress (Terrestrial),2008,Beenish Chohan,Pehli Boond (PTV),Azra Aftab-Hazaron Khawahishen (ATV) Javeria Abbasi-Sukhan (ATV) Salma Zafar-Lyari Express (PTV) Rabia Tabassum-Muqaddar Kahan Say Laayen (ATV)
Lux Style Awards,Television - Best Television Director (Terrestrial),2008,Manzoor Magsi,Lyari Express (PTV),Ali Rizvi-Meray Dard Ko Jo Zuban Miley (PTV) Sohail Iftikhar Khan-Sukhan (ATV)
Lux Style Awards,Television - Best Television Play (Satellite),2008,Man,O-Salwa-Hum TV,Muqaddas-ARY Digital Vanee-Geo TV Shikwah-Geo TV Najia-Hum TV
Lux Style Awards,Television - Best Television Actor (Satellite),2008,Humayun Saeed,Koi Toh Barish (ARY Digital),Sohail Asghar-Vanee (Geo TV) Noman Ijaz-Man-O-Salwa (Hum TV) Sajid Hasan-Shikwah (Geo TV) Ahsan Khan-Muqaddas (ARY Digital)
Lux Style Awards,Television - Best Television Actress (Satellite),2008,Bushra Ansari,Vanee (Geo TV),Javeria Abbasi-Najia (Hum TV) Resham-Man-O-Salwa (Hum TV) Saba Hameed-Vanee (Geo TV) Savera Nadeem-Shikwah (Geo TV)
Lux Style Awards,Television - Best Television Director (Satellite),2008,Anjum Shahzad,Pehla Chaand (Geo TV),Babar Javed-Man-O-Salwa (Hum TV) Rubina Ashraf-Vanee (Geo TV) Barkat Siddiqui-Shikwah (Geo TV) Roomi Insha-Najia (Hum TV)
Lux Style Awards,Music - Best Song of the Year,2008,Sajni,Jal (Band),Aesi Taisi-Azal Bandeya-Khawar Jawad & Faiza Mujahid Laari Chooti-Call (band) Roya Rey-Shiraz Uppal
Lux Style Awards,Music - Best Live Act,2008,Strings (band),,Josh (band) Mouj Mekaal Hasan Band Overload (Pakistani band)
Lux Style Awards,Music - Best Album of the Year,2008,Boondh,Jal,Janay Do-Ali Haider Meri Kahani-Atif Aslam Rozen-e-Deewar-Roxen (band) Naara Sada Ishq Aey-Abrar-ul-Haq
Lux Style Awards,Music - Best Video Director,2008,Bilal Lashari,Dhamaal,Uns Mufti-Broken Boundaries Bilal Lashari-Sajni Soheb Akhtar-Ujaalon Mein
Lux Style Awards,Fashion - Best Model of the Year (male),2008,Ameer Zeb Khan,,Hareeb Farooqui Iftikhar Zafar Riawan Ali Jaffri Abdullah Ejaz
Lux Style Awards,Fashion - Best Model of the Year (female),2008,Neha Ahmed,,Nadia Ali Nooray Bhatty Fouzia Aman Fayeza Ansari
Lux Style Awards,Fashion - Best Retail Brand,2008,Khaadi,,Labels CrossRoads Ego Stoneage
Lux Style Awards,Fashion - Best Achievement in Fashion Design (Menswear),2008,Deepak Perwani,,Zahid Khan Ammar Belal Munib Nawaz Ismail Farid
Lux Style Awards,Fashion - Best Achievement in Fashion Design (Couture),2008,Rizwan Baig,,Sana Safinaz Umar Sayeed Nilofer Shahid Saadia Mirza Abroo Hashimi
Lux Style Awards,Fashion - Best Achievement in Fashion Design (Prét),2008,Maheen Karim,,Sonya Battla Sara Shahid Iman Ahmed Kamiar Rokni
Lux Style Awards,Fashion - Best Fashion Photographer/Videographer,2008,Rizwan,ul-Haq,Guddu Shani Maram Azmat Khawar Riaz Rizwan Baig
Lux Style Awards,Fashion - Best Fashion Makeup & Hair Artist,2008,Khawar Riaz,,Guddu Shani Maram Azmat & Abroo Hashmi Musarrat Misbah Rizwan Baig
Lux Style Awards,Fashion - Best Emerging Talent in Fashion,2008,Rabia Butt,,Fayyaz Ahmed Anoushay Nida Azwar Fazal Abbas
Lux Style Awards,Best Film,2009,,Ramchand Pakistani,Zill-e-Shah Gulabo
Lux Style Awards,Best Film Actor,2009,Shaan Shahid,Zill-e-Shah,Syed Fazal Hussain-Ramchand Pakistani Rashid Farooqi-Ramchand Pakistani
Lux Style Awards,Best Film Actress,2009,Maria Wasti,Ramchand Pakistani,Nandita Das-Ramchand Pakistani Saima Noor-Zill-e-Shah
Lux Style Awards,Best Television Play (Terrestrial),2009,Thora Sa Asman,PTV,Nautankee-ATV Dasht Aashna-PTV Kabhi Aye Na Judai-ATV Mussafat-PTV
Lux Style Awards,Best Television Director (Terrestrial),2009,Shah Bilal,Nautankee (ATV),Fahim Burney-Kabhi Aye Na Judai (ATV) Kazim Pasha-Thora Sa Asman (PTV) Syed Atif Hussain-Kaisay Aye Karar (ATV) Ali Rizvi-Dasht Aashna (PTV)
Lux Style Awards,Best Television Actor (Terrestrial),2009,Talat Hussain,Kabhi Aye Na Judai (PTV),Arbaaz Khan-Kanch Kay Jugnoo (ATV) Habib-Nautankee (ATV) Fahad Mustafa-Kaise Aye Karar (ATV) Noman Ijaz-Mussafat (PTV)
Lux Style Awards,Best Television Actress (Terrestrial),2009,Saima Noor,Nautankee (ATV),Naheed Shabbir-Kanch Kay Jugnoo (ATV) Aliya Imam Thora Sa Asman (PTV) Erum Akhtar-Kabhi Aye Na Judai (ATV) Mehreen Raheel-Kabhi Aye Na Judai (ATV)
Lux Style Awards,Best Television Play (Satellite),2009,Khamoshiyan,Hum TV,Kaisa Yeh Junoon-ARY Digital Sarkar Sahab-ARY Digital Muthi Bhar Chaawal-TV One Jhumka Jan-Hum TV
Lux Style Awards,Best Television Director (Satellite),2009,Babar Javed,Jhumka Jan (Hum TV),Babar Javed-Manay Na Ye Dil (Hum TV) Babar Javed-Khamoshiyan (Hum TV) Barkat Siddiqui-Gatt Jor (TV One) Kamran Qureshi-Sarkar Sahab (ARY Digital)
Lux Style Awards,Best Television Actor (Satellite),2009,Nauman Ijaz,Khamoshiyan (Hum TV),Faysal Quraishi-Manay Na Ye Dil (Hum TV) Azfar Rehman-Kaisa Yeh Junoon (ARY Digital) Asif Raza Mir-Sarkar Sahab (ARY Digital) Faisal Rehman-Khamoshiyan (Hum TV)
Lux Style Awards,Best Television Actress (Satellite),2009,Sania Saeed,Jhumka Jan (Hum TV),Ayesha Omer-Kaisa Yeh Junoon (ARY Digital) Sonia Rehman-Mohabat Karne Walon Ke Nam (Hum TV) Savera Nadeem-Milay Kuch Yun (ARY Digital) Resham-Muthi Bhar Chaawal (TV One)
Lux Style Awards,Best Song of the Year,2009,Khabon Ke Rishtey,Najam Sheraz,Laga Reh-Shehzad Roy Gallan-Ali Azmat Aitebar-Zeb Bangash & Hania Aslam Khaireyan De Nal-Shafqat Amanat Ali
Lux Style Awards,Best Album of the Year,2009,Qismat Apney Haath Mein,Shehzad Roy,Chup-Zeb Bangash & Haniya Aslam Koi Aanay Wala Hai-Strings Klashinfolk-Ali Azmat Tabeer-Shafqat Amanat Ali
Lux Style Awards,Best Video Director,2009,Ahsan Rahim,Laga Reh,Zeeshan Parwez-Gallan Jami-Jago Saqib Malik-Aitebar Jalal & Amir-Aisi Tesi
Lux Style Awards,Best Music Director,2009,Faisal Rafi & Rohail Hayat,Charkha,Mekaal Hasan Band-Chup Zeeshan Haider-Qismat Apney Haath Mein
Lux Style Awards,Best Model of the Year (female),2009,Nadia Hussain,,Fayeza Ansari Neha Ahmed Nooray Bhatty Rabia Butt
Lux Style Awards,Best Model of the Year (male),2009,Ameer Zeb Khan,,Abdullah Khan Arsalan Iftikhar Zafar Rizwan Ali
Lux Style Awards,Best Fashion Photographer/Videographer,2009,Khawar Riaz,,Arif Mehmood Rizwan Baig Guddu Shani Rizwan-ul-Haq
Lux Style Awards,Best Fashion Makeup & Hair Artist,2009,Akif Ilyas,,Guddu Shani Khawar Riaz Munazza Rizwan Tariq Amin
Lux Style Awards,Best Emerging Talent in Fashion,2009,Aamina Sheikh,,Adnan Pardesy Fahad Hussain Fayyaz Ahmed Nisha Butt
Lux Style Awards,Best Retail Brand,2009,Generation,,Crossroads Ego Fnk Asia Stoneage
Lux Style Awards,Best Achievement in Fashion Design (Prét),2009,Iman Ahmed at Body Focus,,Maheen Karim Sadaf Malaterre Sara Shahid at Sublime Sonya Battla
Lux Style Awards,Best Achievement in Fashion Design (Couture),2009,Sana Safinaz,,Bunto Kazmi Kamiar Rokni Rizwan Baig Umar Sayee
Lux Style Awards,Best Achievement in Fashion Design (Menswear),2009,Ismail Farid,,Amir Adnan Deepak Perwani Kuki Concepts Munib Nawaz
Lux Style Awards,Best Film,2010,,Nach Ke Yaar Manana–Syed Noor,
Lux Style Awards,Best Film Actor,2010,Shaan,Nach Ke Yaar Manana,
Lux Style Awards,Best Film Actress,2010,Saima Noor,Nach Ke Yaar Manana,
Lux Style Awards,Best Television Play (Terrestrial),2010,Khuda Zameen Se Gaya Nahin,PTV,Jinnah Ke Naam-PTV Rani-PTV Kaghaz Ki Nao-ATV Jee Chahta Hai-ATV
Lux Style Awards,Best Television Actor (Terrestrial),2010,Noman Ijaz,Kaghaz Ki Nao (ATV),Ayub Khoso–Khuda Zameen Se Gaya Nahin (PTV) Sajid Hasan–Rani (PTV) Shahood Alvi–Jee Chahta Hai (ATV) Ahsan Khan–Muhabbat Yun Bhi Hoti Hai (ATV)
Lux Style Awards,Best Television Actress (Terrestrial),2010,Maira Khan,Jee Chahta Hai (ATV),Angeline Malik – Rani (PTV) Juggan Kazim–Kaghaz Ki Nao (ATV) Saba Qamar – Jinnah Ke Naam (PTV) Sara Chaudhry–Khuda Zameen Se Gaya Nahin (PTV)
Lux Style Awards,Best Television Play (Satellite),2010,Ishq Junoon Deewangi,Hum TV,Doraha-Geo TV Teri Ik Nazar-Geo TV Aashti-Hum TV Ishq Ki Inteha-Geo TV
Lux Style Awards,Best Television Actor (Satellite),2010,Humayun Saeed,Ishq Junoon Deewangi (Hum TV),Humayun Saeed–Doraha (Geo TV) Fahad Mustafa–Veena (ARY Digital) Mohib Mirza–Dil-e-Nadan (Geo TV) Shabbir Jan–Andata (Indus Vision)
Lux Style Awards,Best Television Actress (Satellite),2010,Sania Saeed,The Ghost (Hum TV),Resham–Aashti (Hum TV) Sonia Rehman–Doraha (Geo TV) Sara Chaudhry–Teri Ik Nazar (Geo TV) Sanam Baloch–Noorpur Ki Rani (Hum TV)
Lux Style Awards,Best Television Director,2010,Mehreen Jabbar,Doraha (Geo TV),Kashif Nisar–Khuda Zameen Se Gaya Nahin (PTV) Babar Javed–Ishq Junoon Deewangi (Hum TV) Adnan Wai Qureshi–Aashti (Hum TV) Tariq Mairaj–Jinnah Ke Naam (PTV)
Lux Style Awards,Best Television Writer,2010,Asghar Nadeem Syed,Khuda Zameen Se Gaya Nahin (PTV),Kashif Nisar–Jinnah Ke Naam (PTV) Zafar Mairaj–Darwaza (PTV) Seema Ghazal–Aashti (Hum TV) Fizza Jaffri-Veena (ARY Digital)
Lux Style Awards,Best Artist of the Year,2010,Mauj,,Rahim Shah Shiraz Uppal Overload Mariam Kizilbash
Lux Style Awards,Best Singer of the Year,2010,Meekal Hasan Band,,Imran Khan Shiraz Uppal Rahim Shah Zain ul Abedin
Lux Style Awards,Best Music Producer,2010,Rohail Hyatt,Coke Studio (season 2),Shiraz Uppal-Ankahi Shani & Kami-Rahim Shah Mekaal Hasan Band-Saptak Farhad Humayun-Pichal Pairee
Lux Style Awards,Best Video Director,2010,Zeeshan Parwez,,Sohail Javed Farhad Humayun Bilal Lashari Ahsan Rahim
Lux Style Awards,Best Model of the Year (male),2010,Iftikhar Zafar,,Abdullah Ejaz Arsalan Rohail Peerzada
Lux Style Awards,Best Model of the Year (female),2010,Fayeza Ansari,,Cybil Chowdhry Aamina Sheikh Mehreen Syed Rabia Butt
Lux Style Awards,Best Emerging Talent in Fashion,2010,Feeha Jamshed,,Raana Khan Ayaan Ali M.Mubarak Ayaz Anis
Lux Style Awards,Best Fashion Photographer/Videographer,2010,Guddu Shani,,Fayyaz Ahmed Khawar Riaz Maram Azmat & Abroo Hashmi Rizwan-ul-Haq
Lux Style Awards,Best Fashion Makeup & Hair Artist,2010,Rizwana Khan,,Khawar Riaz Nighat Misbah Saba Ansari
Lux Style Awards,Best Achievement in Fashion Design (Prét),2010,Deepak Perwani,,Kamiar Rokni Khaadi Sara Shahid at Sublime Sonya Battla
Lux Style Awards,Best Achievement in Fashion Design (Luxury Prét),2010,Sana Safinaz,,Iman Ahmed at Body Focus Nomi Ansari Shamaeel Ansari Rizwan Baig
Lux Style Awards,Best Achievement in Fashion Design (Menswear),2010,Hassan Sheheryar Yasin,,Amir Adnan Ismail Farid Kuki Concepts Fahad Hussain
Lux Style Awards,Best Retail Brand,2010,Generation,,Khaadi Fnk Asia CrossRoads Stoneage
Lux Style Awards,Best Television Play (Terrestrial),2011,Anokha Ladla,PTV,Ghar Ki Khatir-PTV Pal Bhar Mein-ATV Tinkay-PTV Uss Paar-ATV
Lux Style Awards,Best Television Actor (Terrestrial),2011,Javed Sheikh,Pal Bhar Mein (ATV),Saleem Sheikh-Anokha Ladla (PTV) Ahsan Khan-Shikan (PTV) Babar Ali-Uss Par (ATV) Adnan Jillani-Anokha Ladla (PTV)
Lux Style Awards,Best Television Actress (Terrestrial),2011,Sania Saeed,Hawa Rait aur Angan (PTV),Beenish Chohan-Ghar Ki Khatir (PTV) Erum Akhtar-Shikan (PTV) Saba Faisal-Pal Bhar Mein (ATV) Saba Qamar-Tinkay(PTV)
Lux Style Awards,Best Television Play (Satellite),2011,Bol Meri Machli,Geo TV,Daam-ARY Digital Dastaan-Hum TV Ijazat-ARY Digital Malaal-Hum TV
Lux Style Awards,Best Television Actor (Satellite),2011,Faisal Qureshi,Meri Zaat Zarra-e-Benishan (Geo TV),Fahad Mustafa-Haal-e-Dil (ARY Digital) Fawad Khan-Dastaan (Hum TV) Shahood Alvi-Bol Meri Machli (Geo TV) Sajid Hasan-Thori Si Wafa Chahiye (Geo TV)
Lux Style Awards,Best Television Actress (Satellite),2011,Bushra Ansari,Dolly Ki Ayegi Baraat (Geo TV),Aamina Sheikh-Agar Tum Na Hotay (Indus Vision) Savera Nadeem-Diya Jalay (ARY Digital) Samiya Mumtaz-Meri Zaat Zarra-e-Benishan (Geo TV) Sanam Baloch-Dastaan (Hum TV)
Lux Style Awards,Best Television Director,2011,Haissam Hussain,Dastaan (Hum TV),Amir Yousaf-Anokha Ladla (PTV) Mehreen Jabbar-Daam (ARY Digital) Haseeb Hassan-Bol Meri Machli (Geo TV) Yasir Nawaz-Thori Si Wafa Chahiye (Geo TV)
