award_show,category,year,winner,film,notes
Nigar Awards,Best actor,1974,Mohammad Ali,Aaina Aur Soorat,For Urdu films
Nigar Awards,Best actress,1974,Shabnum,Dillagi,For Urdu films
Nigar Awards,Best Supporting Actor,1974,Shahid,Deedar,For Urdu films
Nigar Awards,Best supporting actress,1974,Nayyar Sultana,Bahisht,For Urdu films
Nigar Awards,Best musician,1974,Robin Ghosh,Chahat,For Urdu films
Nigar Awards,Best Lyricist,1974,Akhtar Yousuf,,For Urdu films
Nigar Awards,Best cinematographer,1974,Afzal Chaudhary,Sharafat,For Urdu films
Nigar Awards,Best playback female singer,1974,Naheed Akhtar,Shama,For Urdu films
Nigar Awards,Best playback male singer,1974,Mehdi Hassan,Sharafat,For Urdu films
Nigar Awards,Best Film editor,1974,Irshad Durrani,,For Urdu films
Nigar Awards,Best art director,1974,Islam Shahabi,Deedar,For Urdu films
Nigar Awards,Best sound editor,1974,Wajid Ali,Dillagi,For Urdu films
Nigar Awards,Best comedian,1974,Lehri,,For Urdu films
Nigar Awards,Special award,1974,Akhlaq Ahmed,Chahat,For Urdu films
Nigar Awards,Best Film,1974,,Naukar Wohti Da,For Punjabi films
Nigar Awards,Best Director,1974,Haider Chudhary,Naukar Wohti Da,For Punjabi films
Nigar Awards,Best script writer,1974,Sheikh Iqbal,Naukar Wohti Da,For Punjabi films
Nigar Awards,Best actor,1974,Sudhir,Lottery,For Punjabi films
Nigar Awards,Best actress,1974,Neelo,Khatarnaak,For Punjabi films
Nigar Awards,Best cinematographer,1974,Masood-ul-Rahman,Khatarnaak,For Punjabi films
Nigar Awards,Best musician,1974,Wajahat Attre,Naukar Wohti Da,For Punjabi films
Nigar Awards,Best Film,1975,,Mera Naam Hai Mohabaat,For Urdu films
Nigar Awards,Best Director,1975,Shabab Kiranvi,,For Urdu films
Nigar Awards,Best Script,1975,,,For Urdu films
Nigar Awards,Best Screenplay,1975,Agha Imtesal,Aik Gunnah Aur Sahi,For Urdu films
Nigar Awards,Best Actor,1975,Nadeem,Anari,For Urdu films
Nigar Awards,Best Actress,1975,Shabnam,Zeenat,For Urdu films
Nigar Awards,Best Supporting Actor,1975,Talish,,For Urdu films
Nigar Awards,Best Supporting Actress,1975,Kaveeta,Teray Meray Sapnay,For Urdu films
