award_show,category,year,winner,film,notes
Hum Style Awards,Best Soap Series,2013,Mujhay Roothnay Na Daina,Momina Duraid,Raju Rocket – Eveready Pictures Nikhar Gaye Gulab Sare – Momina Duraid Mar Jain Bhi To Kya – Momina Duraid
Hum Style Awards,Best Writer Drama Serial,2013,Umera Ahmad,Maat,Umera Ahmad – Shehr-e-Zaat Farhat Ishtiaq – Mata-e-Jaan Hai Tu Aliya Bukhari – Mere Qatil Mere Dildar Faiza Iftikhar – Yahan Pyar Nahi Hai Faiza Iftikhar – Bilqees Kaur Sarwat Nazir – Roshan Sitara Sy
Hum Style Awards,Best Host of the Year,2013,Fahad Mustafa,Jago Pakistan Jago (Solo Nominee),
Hum Style Awards,Best Television Sensation Male,2013,Shehryar Munawar Siddiqui,Meray Dard Ko Jo Zuban Miley,
Hum Style Awards,Best Television Sensation Female,2013,Suhaee Abro,Sanjha,
Hum Style Awards,Best Onscreen Couple,2013,Fawad Afzal Khan and Mahira Khan,Humsafar,Mikaal Zulfiqar and Mahira Khan – Shehr-e-Zaat Ahsan Khan and Mehwish Hayat – Mere Qatil Mere Dildar
Hum Style Awards,Best Original Soundtrack,2013,"Mere Qatil Mere Dildar"" from Mere Qatil Mere Dildar",Sara Raza Khan and Sohail Haider,"Jab Se Roshan"" from Roshan Sitara - Bilal Khan and Qurat-ul-Ain Balouch ""Mata-e-Jaan Hai Tu"" from Mata-e-Jaan Hai Tu – Bilal Khan ""Babul angana preetam"" from Sanjha –Sanam Marvi ""Ye nadamat kyun hai"" "
Hum Style Awards,Best Solo Artist,2013,Shehzad Roy,Apne Ullo,Abbas Ali Khan – Per Mein Hun Ruka Sa Hadiqa Kiani – Jab say Tum Faakhir Mehmood – Baliye
Hum Style Awards,Best Music Video,2013,Baliye,Sayed Ali Raza,Ye zameen – Maram & Aabroo Per main Hun Ruka Sa – Usman Mukhtar Apne Ullo – Ehsan Rahim
Hum Style Awards,Best Model Male,2013,Abbas Jafri,,Muhammad Mubarik Ali Iffy Athar Amin Abdullah Ejaz
Hum Style Awards,Best Model Female,2013,Ayyan,,Neha Ahmed Rabia Butt Fouzia Aman Nadia Ali Amna Ilyas
Hum Style Awards,Best Designer Menswear,2013,Deepak Perwani,DP-Deepak Perwani,Arsalan Yahseer – AY-Arsalan & Yahseer Emran Rajput – ԐR-EMRAAN RAJPUT Nauman Arfeen – Naushemian
Hum Style Awards,Best Designer Womenswear,2013,Nomi Ansari,DNA-Diffusion by Nomi Ansari,Asifa and Nabeel – Asifa & Nabeel Ali Xeeshan – Ali Xeeshan Signature Weddings Fahad Hussain – Fahad Hussayn Trousseau Nadia Azwar – Nadia Azwer Atelier Zaheer Abbas – ÁΖ-Zaheer Abbas
Hum Style Awards,Name(s),2013,Asim Raza Ayyan,,
Hum Style Awards,Presented,2013,presenter of the awards of Hum Best Solo artist & Hum Best music video,,
Hum Style Awards,Name(s),2013,Shebaz Khan (brand manager Telenor talk shalk)Nadia Hussain,,
Hum Style Awards,Presented,2013,Presenter of the award of Hum best model female,,
Hum Style Awards,Name(s),2013,Ammar Ahmad (Marketing manager Nokia Pakistan)Vaneeza Ahmad,,
Hum Style Awards,Presented,2013,Presenter of the award of Hum Best model male,,
Hum Style Awards,Name(s),2013,Tapu Javeri (Designer)Nabeela,,
Hum Style Awards,Presented,2013,Presenter of the awards of Hum Best designer Women's wear & Hum Best designer men's wear,,
Hum Style Awards,Name(s),2013,Anwar Maqsood,,
Hum Style Awards,Presented,2013,presenter of the award of Hum lifetime Achievement Award,,
Hum Style Awards,Name(s),2013,Shebaz Khan (brand manager Telenor talk shalk)Alamgir (pop singer),,
Hum Style Awards,Presented,2013,Presenter of the award of Hum Best Original Sound Track,,
Hum Style Awards,Name(s),2013,Adeel Hussa,Ayesha Omar,
Hum Style Awards,Presented,2013,Presenter of the award of Hum best New TV sensation,,
Hum Style Awards,Name(s),2013,Imran Momina (Fuzon Band pianist)Ayesha Omer,,
Hum Style Awards,Presented,2013,Presenter of the awards of Hum best comic actor & hum best Sitcom,,
Hum Style Awards,Name(s),2013,Aijaz AslamAlishba Yousuf,,
Hum Style Awards,Presented,2013,Presenter of the awards of Hum Best Host & Hum best Drama series,,
Hum Style Awards,Name(s),2013,Deepak PerwaniAngeline Malik,,
Hum Style Awards,Presented,2013,Presenter of the award of Hum Best Soap actor,,
Hum Style Awards,Name(s),2013,Imran AbbasSanam Jung,,
Hum Style Awards,Presented,2013,Presenter of the award of Hum Best Soap actress,,
Hum Style Awards,Name(s),2013,Misbah Khalid Saqib Malik,,
Hum Style Awards,Presented,2013,Presenter of the award of Hum Best Soap series,,
Hum Style Awards,Name(s),2013,Bushra AnsariDuraid Qureshi (CEO Hum Network),,
Hum Style Awards,Presented,2013,Presenter of the awards of Hum Special Recognition to Pakistan Television (TV Stalwarts),,
Hum Style Awards,Name(s),2013,Qavi KhanSanam Saeed,,
Hum Style Awards,Presented,2013,presenter of the awards of Hum most challenging subject,,
Hum Style Awards,Name(s),2013,Sultana Siddiqui,,
Hum Style Awards,Presented,2013,Presenter of the awards of Phenomenal serial,,
Hum Style Awards,Name(s),2013,Samina PeerzadaJavaid Sheikh,,
Hum Style Awards,Presented,2013,Presenter of the award of Hum Special Recognition In Music,,
Hum Style Awards,Name(s),2013,Noor ul Huda Shah (writer),,
Hum Style Awards,Presented,2013,Presenter of the award of Hum Best writer Drama serial,,
Hum Style Awards,Name(s),2013,Saba QamarNoman Ejaz,,
Hum Style Awards,Presented,2013,Presenter of the award of Hum best director drama serial,,
Hum Style Awards,Name(s),2013,Zeba BakhtiyarEjaz Aslam,,
Hum Style Awards,Presented,2013,presenter of the award of Hum Best Supporting actress,,
Hum Style Awards,Name(s),2013,Asif Raza MirHina Khawaja Bayat,,
Hum Style Awards,Presented,2013,presenter of the award of Hum Best Supporting actor,,
Hum Style Awards,Name(s),2013,Aamina SheikhMohib Mirza,,
Hum Style Awards,Presented,2013,presenter of the award of Hum Best On Screen Couple,,
Hum Style Awards,Name(s),2013,Atiqa Odho M. Akram (Advisor to CEO Servis Sales Corp.),,
Hum Style Awards,Presented,2013,Presenter of the award ofHum best drama serial,,
Hum Style Awards,Name(s),2013,Samina PeerzadaMian Shahzad (head of communication Servis corp),,
Hum Style Awards,Presented,2013,Presenter of the award of Hum Best actor,,
Hum Style Awards,Name(s),2013,Hasan Khaild (Comm. and trade mark. manager,service)Humayun Saeed,
Hum Style Awards,Presented,2013,Presenter of the award of Hum Best actress,,
Hum Style Awards,Name(s),2013,Humayun Saeed,,
Hum Style Awards,Role,2013,Performer,,
Hum Style Awards,Performed,2013,Noman Habib,,Performed on song with in order to promote his upcoming movie Mian Shahid Afridi Hun.
Hum Style Awards,Name(s),2013,Ahsan Khan (actor) Mehwish Hayat,,
Hum Style Awards,Performed,2013,"Performed on Bollywood songs ""Mujhe To Teri Lut Lag Gaye"" from Race 2, Matru Ki Bijlee Ka Mandola from the film by the same name and Biddu's remix of Nazia Hassan's and Zohaib Hassan's ""Disco Deewanay",,
Hum Style Awards,Name(s),2013,Group Dancers,,
Hum Style Awards,Role,2013,LED Act,,
Hum Style Awards,Performed,2013,An LED wear dress act by a girls on a musical Beats,,
Hum Style Awards,Name(s),2013,Umer Sharif,,
Hum Style Awards,Performed,2013,Comic Act by himself.,,
Hum Style Awards,Name(s),2013,Rabbi Shergill,,
Hum Style Awards,Performed,2013,"Punjabi Indian artist Rabbi Shergill performed Challa, Bulla Ki Jana Me","Kaun, Tere Bin Sanu Sohniya and Challa again.",
Hum Style Awards,Name(s),2013,Fahad Mustafa,,
Hum Style Awards,Performed,2013,"Tribute to Pakistani acclaimed singers Alamgir (pop singer), Atif Aslam, Ali Zafar and Zohaib Hassan",,
Hum Style Awards,Name(s),2013,Humaima Malik,,
Hum Style Awards,Performed,2013,Performed on different Indian songs,,
Hum Style Awards,Name(s),2013,Abida Parveen,,
Hum Style Awards,Role,2013,Singer,,
Hum Style Awards,Performed,2013,Sang Naraye Mastana.,,
Hum Style Awards,Name(s),2014,Imran MominaGia Ali,,
Hum Style Awards,Presented,2014,Presenters of the award of Best Music Band.,,
Hum Style Awards,Name(s),2014,Alamgir ShahAyesha Omer,,
Hum Style Awards,Presented,2014,Presenters of the award of Best Solo Artist and Best Original Soundtrack,,
Hum Style Awards,Name(s),2014,Faakhir MehmoodAmna Ilyas,,
Hum Style Awards,Presented,2014,Presenters of the awards of Best Music Video.,,
Hum Style Awards,Name(s),2014,Samina Peerzada,,
Hum Style Awards,Presented,2014,Presenters of the award of special recognition to Bilal Lashari and Humayun Saeed,their incredible success of ground breaking films.,
Hum Style Awards,Name(s),2014,Tapu JaveriNabila,,
Hum Style Awards,Presented,2014,Presenters of the award of Best Designer Womenswear,,
Hum Style Awards,Name(s),2014,Ali Xeeshan Saba Ansari,,
Hum Style Awards,Presented,2014,Presenters of the award of Best Designer Menswear,,
Hum Style Awards,Name(s),2014,Shahbaz KhanNadia Hussain,,
Hum Style Awards,Presented,2014,Presenters of the awards of Best Model Male & Best Model Female,,
Hum Style Awards,Name(s),2014,Wiqar Ali Khan Sarwat Gillani,,
Hum Style Awards,Presented,2014,Presenters of the award of Best Sitcom,,
Hum Style Awards,Name(s),2014,Shehroz SabswariSyra Yousuf,,
Hum Style Awards,Presented,2014,Presenters of the award s of Best Television Sensation Male & Best Television Sensation Female,,
Hum Style Awards,Name(s),2014,Farhan Ali AghaSavera Nadeem,,
Hum Style Awards,Presented,2014,Presenters of the awards of Hum Best Soap Actor & Hum Best Soap Actress,,
Hum Style Awards,Name(s),2014,Deepak PerwaniMisbah Khalid,,
Hum Style Awards,Presented,2014,Presenters of the award of Best Soap Series,,
Hum Style Awards,Name(s),2014,Sultana Siddiqui,,
Hum Style Awards,Presented,2014,Presented Lifetime Achievement Award to Zia Mohyeddin,,
Hum Style Awards,Name(s),2014,Mahira Khan,,
Hum Style Awards,Presented,2014,Presenters of the award of Best Telefilm,,
Hum Style Awards,Name(s),2014,Ahsan KhanMaria Wasti,,
Hum Style Awards,Presented,2014,Presenters of the award of Best Supporting Actress,,
Hum Style Awards,Name(s),2014,Angeline Malik Noor Hassan Rizvi,,
Hum Style Awards,Presented,2014,Presenters of the award of Best Supporting Actor,,
Hum Style Awards,Name(s),2014,Ejaz AslamSadia Imam,,
Hum Style Awards,Presented,2014,Presenters of the award of Best Actor,a Negative Role,
Hum Style Awards,Name(s),2014,Hina DilpazeerNoor Hassan Rizvi,,
Hum Style Awards,Presented,2014,Presenters of the award of Best Impactful Character,,
Hum Style Awards,Name(s),2014,Azfar AliNaveen Waqar,,
Hum Style Awards,Presented,2014,Presenters of the Award of Best Onscreen Couple Viewers Choice,,
Hum Style Awards,Name(s),2014,Behroze SabzwariShagufta Ejaz,,
Hum Style Awards,Presented,2014,Presenters of the Award of Best Drama Serial Viewers Choice,,
Hum Style Awards,Name(s),2014,Moammar RanaMaria Wasti,,
Hum Style Awards,Presented,2014,Presenters of the Award of Best Actress Viewers Choice,,
Hum Style Awards,Name(s),2014,Atiqa Odho,,
Hum Style Awards,Presented,2014,Presenters of the Award of Best Actor Viewers Choice,,
Hum Style Awards,Name(s),2014,Sameera FazalSeema Ghazal,,
Hum Style Awards,Presented,2014,Presenters of the Award of Best Writer Drama Serial,,
Hum Style Awards,Name(s),2014,Sarmad Sultan KhoosatSabiha Sumar,,
Hum Style Awards,Presented,2014,Presenters of the Award of Best Director Drama Serial,,
Hum Style Awards,Name(s),2014,Hamza Ali AbbasiSaba Qamar,,
Hum Style Awards,Presented,2014,Presenters of the Award of Best Onscreen Couple,,
Hum Style Awards,Name(s),2014,Asim RazaZeba Bakhtiar,,
Hum Style Awards,Presented,2014,Presenters of the Award of Best Drama Serial,,
Hum Style Awards,Name(s),2014,Humayun SaeedUmair Mustafa,,
Hum Style Awards,Presented,2014,Presenters of the Award of Best Actress,,
Hum Style Awards,Name(s),2014,Vaneeza AhmadFarooq Haider Sheikh,,
Hum Style Awards,Presented,2014,Presenters of the Award of Best Actor,,
Hum Style Awards,Name(s),2014,Javed SheikhBushra Ansari,,
Hum Style Awards,Role,2014,Performer,,
Hum Style Awards,Performed,2014,"Both performed a dance number on a medley of ""Gari Ko Chalana",,
Hum Style Awards,Name(s),2014,Ahsan Khan (actor)Mehwish Hayat,,
Hum Style Awards,Performed,2014,"Performed on Bollywood songs '""Tu Ney Mari Ebtry Yaar"" from Gunday, ""Kamli"" from Dhoom 3, and ""Mere Maat Mari"" from R... Rajkumar.",,
Hum Style Awards,Name(s),2014,Tanura Dance Group,,
Hum Style Awards,Role,2014,Traditional Egyptian Dance Form,,
Hum Style Awards,Performed,2014,Egyptian Tanura Dancer Hamada and his troupe performed,,
Hum Style Awards,Name(s),2014,Shehroz Sabswari and Sohai Ali Abro,,
Hum Style Awards,Performed,2014,"Performed on a Bollywood number ""Malang Malang"" from Dhoom 3, ""Gun Gunna Re"" from Agneepath and ""Gandi Baat"" from R... Rajkumar.",,
Hum Style Awards,Name(s),2014,Noor Bukhari,,
Hum Style Awards,Performed,2014,"Performed on a medley of ""Humari Araiya"".",,
Hum Style Awards,Name(s),2014,Rahat Fateh Ali Khan,,
Hum Style Awards,Role,2014,Singer,,
Hum Style Awards,Performed,2014,Performed his own musical number.,,
Hum Style Awards,Name(s),2015,Asif Abdul Majeed (Pres. Rivo Mobile)Mawra Hocane,,
Hum Style Awards,Presented,2015,Presenters of the award of Best Model Female,Popular,
Hum Style Awards,Name(s),2015,Hannan Asif (DOS & MKTG Rivo Mobile)Hareem Farooq,,
Hum Style Awards,Presented,2015,Presenters of the award of Best Model Male,Popular,
Hum Style Awards,Name(s),2015,Junaid KhanAyesha Omar,,
Hum Style Awards,Presented,2015,Presenters of the Award of Best Single & Best Music Video.,,
Hum Style Awards,Name(s),2015,Duraid Qureshi (CEO Hum Network Limited)Irfan Wahab Khan (Mark. Officer Telenor),,
Hum Style Awards,Presented,2015,Special mention,the global success of Network's 10 years of excellence and its achievements and Presenters of the award of Honorary Excellence Award in Music,
Hum Style Awards,Name(s),2015,Adnan MalikMaya Ali,,
Hum Style Awards,Presented,2015,Presenter of the award of Hum Short Films Middle East & Best Sitcom,,
Hum Style Awards,Name(s),2015,Sarwar KhanHina Khawaja Bayat,,
Hum Style Awards,Presented,2015,Presenters of the awards of Hum Best Soap Actor,Female,
Hum Style Awards,Name(s),2015,Ali Rehman KhanRizwana Jafar (CEO Holiday Inn.),,
Hum Style Awards,Presented,2015,Presenters of the awards of Hum Best Soap Actor,Male,
Hum Style Awards,Name(s),2015,Deepak PerwaniShabna Naaz,,
Hum Style Awards,Presented,2015,Presenters of the award of Best Soap Series,,
Hum Style Awards,Name(s),2015,Hassan Sheheryar YasinSaima Ajram,,
Hum Style Awards,Presented,2015,Presenters of the Award of Best Original Soundtrack Popular,,
Hum Style Awards,Name(s),2015,Javed Sheikh,,
Hum Style Awards,Presented,2015,Presenter of the Award of Hum Honorary Excellence Award,Television given by Javed Sheikh.,
Hum Style Awards,Name(s),2015,Samina Peerzada,,
Hum Style Awards,Presented,2015,Presenter of the award of Special recognition to 2014 Highest grossing Pakistani film Na Maloom Afraad.,,
Hum Style Awards,Name(s),2015,Aijaz AslamNabeela,,
Hum Style Awards,Presented,2015,Presenters of the award of Best Telefilm,,
Hum Style Awards,Name(s),2015,Naveed Asghar (Mark. HBL)Urwa Hocane,,
Hum Style Awards,Presented,2015,Presenters of the award of Best Television Sensation,Female,
Hum Style Awards,Name(s),2015,Irfan Wahab Khan (Mark. Officer Telenor)Armeena Khan,,
Hum Style Awards,Presented,2015,Presenters of the award of Best Television Sensation,Male,
Hum Style Awards,Name(s),2015,Mr. Faik (Head Payment Services HBL)Ayesha Khan,,
Hum Style Awards,Presented,2015,Presenters of the award of Best Supporting Actress & Best Supporting Actor,,
Hum Style Awards,Name(s),2015,Hassan Khalid (Comm. & trade mark. Servis)Momina Duraid,,
Hum Style Awards,Presented,2015,Presenters of the International Icon Award,,
Hum Style Awards,Name(s),2015,M. Sarwar Khan Sultana Siddiqui,,
Hum Style Awards,Presented,2015,Presented Lifetime Achievement Award,,
Hum Style Awards,Name(s),2015,Behroze SabzwariRubina Ashraf,,
Hum Style Awards,Presented,2015,Presenters of the award of Best Actor,a Negative Role,
Hum Style Awards,Name(s),2015,Mahira Khan,,
Hum Style Awards,Presented,2015,Presenters of the award of Most Impactful Character,,
Hum Style Awards,Name(s),2015,Noor ul Huda Shah,,
Hum Style Awards,Presented,2015,Presenter of the Award of Best Writer Drama Serial,,
Hum Style Awards,Name(s),2015,Adnan SiddiquiMisbah Khalid,,
Hum Style Awards,Presented,2015,Presenters of the Award of Best Director Drama Serial,,
Hum Style Awards,Name(s),2015,Faisal QureshiMaria Wasti,,
Hum Style Awards,Presented,2015,Presenters of the Award of Best Onscreen Couple & Best Drama Serial Viewers Choice/Popular,,
Hum Style Awards,Name(s),2015,Farooq Hiader Sheikh (GM. mark. Servis)Sakina Samo,,
Hum Style Awards,Presented,2015,Presenters of the Award of Best Actor Female,Popular,
Hum Style Awards,Name(s),2015,Ahmad Hussa,(Dir. corp. Servis)Atiqa Odho,
Hum Style Awards,Presented,2015,Presenters of the Award of Best Actor Male,Popular,
Hum Style Awards,Name(s),2015,Meekal Zulfiqar,,
Hum Style Awards,Presented,2015,Presenter of the Award of Best Drama Serial,Jury,
Hum Style Awards,Name(s),2015,Aman Aziz Siddiqui (Head,Corporate Strategy & Investments-HBL),
Hum Style Awards,Presented,2015,Special mention and bouquet,acknowledgement of Sultana Siddiqui work for media Industry.,
Hum Style Awards,Name(s),2015,Humayun SaeedAman Aziz Siddiqui (Head,Corporate Strategy & Investments-HBL),
Hum Style Awards,Presented,2015,Presenters of the Award of Best Actor Female,Jury,
Hum Style Awards,Name(s),2015,Mr. Waqas (Dir. Mark. Unilever)Bushra Ansari,,
Hum Style Awards,Presented,2015,Presenters of the Award of Best Actor Male,Jury,
Hum Style Awards,Name(s),2015,Mardi Gras Performers of Rio,,
Hum Style Awards,Role,2015,Performers,,
Hum Style Awards,Performed,2015,Ceremony's opening number by Mardi Gras Performers a Brazilian Carnival festive dancing performance.,,
Hum Style Awards,Name(s),2015,Feroz KhanSajjal Ali,,
Hum Style Awards,Performed,2015,"Saturday Saturday"" from Humpty Sharma Ki Dulhania and ""Yaar Naa Miley"" from Kick and a duet number on ""Drama Queen"" from Hasee Toh Phasee.",,
Hum Style Awards,Name(s),2015,Ahmad Ali ButtVasay Chaudhry,,
Hum Style Awards,Performed,2015,"Hum' Jaisa Koi Nahee"" during the second hosting segment of ceremony.",,
Hum Style Awards,Name(s),2015,Ahsan KhanSaba Qamar,,
Hum Style Awards,Role,2015,Performer,,
Hum Style Awards,Performed,2015,"Duet on ""Manwa Lagay"" from Happy New Year and ""Aaja Piya Ke Bazar Mein"" from Humshakals, while Khan performed individually on ""Tu Meri Hone Lagi"" from Bang Bang!.",,
Hum Style Awards,Name(s),2015,Sunidhi Chauhan,,
Hum Style Awards,Performed,2015,"Ishq Sufiyana"" from The Dirty Picture, ""Dil Dharke Ma","Tum Se"" from Anjuman, ""Sajna Ve Sajna"" from Chameli and ""Udi Tere Aankhoin Se"" from Guzaarish.",
Hum Style Awards,Name(s),2015,Mehwish Hayat,,
Hum Style Awards,Performed,2015,"Billi"" from Na Maloom Afraad, ""Lovely"" from Happy New Year and ""Ban Bang"" from Bang Bang!.",,
Hum Style Awards,Name(s),2015,Shahroz SabzwariSyra Yousuf,,
Hum Style Awards,Performed,2015,"Bismil Bismil"" from Haider and ""Chittiyaan Kalaiyaan"" from Roy and duet on ""Madamiyan"" from Tevar.",,
Hum Style Awards,"Best Music Single ""Sajna"" – Uzair Jaswal ""Aik Tha Badshah"" – Noori ""Ishq Hawa Main"" – Asrar ""Bewafaayian"" – Quratulain Balouch ""Tere Bajon"" – Jal ""Kooch"" – Nabeel Shaukat Ali ""Kithay Nain"" – Ali Sethi",2016,Best Music Single,,"Sajna"" – Uzair Jaswal ""Aik Tha Badshah"" – Noori ""Ishq Hawa Main"" – Asrar ""Bewafaayian"" – Quratulain Balouch ""Tere Bajon"" – Jal ""Kooch"" – Nabeel Shaukat Ali ""Kithay Nain"" – Ali Sethi"
Hum Style Awards,"Best Music Video Yasir Jaswal – ""Sajna"" Aisha Linnea and Shahbaz Shigri – ""Bewafaayian"" Haroon Habib and Ghafar Mohiudin – ""Pardesia"" Mandana Zaidi and Daniel Sanchez Lopez – ""Aik Tha Badshah"" Adnan Kandhar – ""Kooch"" Sarmad Sultan Khoosat – ""Kithay Nain",2016,Best Music Video,,"Yasir Jaswal – ""Sajna"" Aisha Linnea and Shahbaz Shigri – ""Bewafaayian"" Haroon Habib and Ghafar Mohiudin – ""Pardesia"" Mandana Zaidi and Daniel Sanchez Lopez – ""Aik Tha Badshah"" Adnan Kandhar – ""Kooch"" "
Hum Style Awards,Best Drama Serial-Jury,2022,Parizaad,Momina Duraid Productions,
Hum Style Awards,Best Director,2022,Shahzad Kashmiri,Parizaad,
Hum Style Awards,Best Actor-Jury,2022,Ahmed Ali Akbar,Parizaad,
Hum Style Awards,Best Actress-Jury,2022,Iqra Aziz,Raqeeb Se,
Hum Style Awards,Best Supporting Actor,2022,Adeel Afzal,Parizaad,
Hum Style Awards,Best Supporting Actress,2022,Saboor Aly,Parizaad,
Hum Style Awards,Best Writer,2022,Hashim Nadeem,Parizaad,
Hum Style Awards,Best On-Screen Couple-Jury,2022,Aiza Khan and Osman Khalid Butt,Chupke Chupke,
Hum Style Awards,Best Performance in a Negative Role,2022,Tie: Shehzad Sheikh,Phaans Ahsan Khan – Qissa Meherbano Ka,
Hum Style Awards,Most Impactful Character,2022,Sania Saeed,Raqeeb Se,
Hum Style Awards,Best Drama Serial (2020),2022,Ehd-e-Wafa,Saife Hassan & Momina Duraid,
Hum Style Awards,Best Drama Serial (2019),2022,Ranjha Ranjha Kardi,Kashif Nisar & Momina Duraid,
Hum Style Awards,Best Drama Serial (9 PM Slot),2022,Yaar Na Bichray,Moomal Entertainment,
Hum Style Awards,Best Drama Soap,2022,Wafa Be Mol,Momina Duraid Productions,
Hum Style Awards,Best Television Sensation (Male),2022,Three-way Tie: Arslan Naseer,Chupke Chupke Momin Saqib – Raqs-e-Bismil Zaviyar Nauman Ijaz – Qissa Meherbano Ka,
Hum Style Awards,Best Television Sensation (Female),2022,Tie: Aymen Saleem,Chupke Chupke Hadiqa Kiani – Raqeeb Se,
Hum Style Awards,Best Drama Serial,2024,Sang-e-Mah,,
Hum Style Awards,Best Director Drama Serial,2024,Saife Hassan,Sang-e-Mah,
Hum Style Awards,Best Writer Drama Serial,2024,Mustafa Afridi,Sang-e-Mah,
Hum Style Awards,Best Actor,2024,Bilal Abbas Khan,Dobara,
Hum Style Awards,Best Actress,2024,Yumna Zaidi,Bakhtawar,
Hum Style Awards,Best Onscreen Couple,2024,Ahad Raza Mir & Ramsha Khan,Hum Tum,
Hum Style Awards,Best Drama Serial,2024,Fairy Tale,,
Hum Style Awards,Best Director Drama Serial,2024,Shahid Shafaat,Muhabbat Gumshuda Meri,
Hum Style Awards,Best Writer Drama Serial,2024,Hashim Nadeem,Jhok Sarkar,
Hum Style Awards,Best Actor,2024,Khushhal Khan,Muhabbat Gumshuda Meri,
Hum Style Awards,Best Actress,2024,Mawra Hocane,Neem,
Hum Style Awards,Best Onscreen Couple,2024,Hamza Sohail & Sehar Khan,Fairy Tale,
Hum Style Awards,Best Actor in a Negative Role,2024,Syed Jibran,Neem,
Hum Style Awards,Most Impactful Character,2024,Sania Saeed,Sang-e-Mah,
Hum Style Awards,Best Supporting Actor,2024,Asif Raza Mir,Jhok Sarkar,
Hum Style Awards,Best Supporting Actress,2024,Samiya Mumtaz,Sang-e-Mah,
Hum Style Awards,Best Television Sensation Male,2024,Atif Aslam,Sang-e-Mah,
Hum Style Awards,Best Television Sensation Female,2024,Mamya Shahjaffar,Jhok Sarkar,
Hum Style Awards,Best Original Soundtrack Popular,2024,Sahir Ali Bagga,Sang-e-Mah,
Hum Style Awards,Best Actor Popular,2025,Bilal Abbas Khan,Ishq Murshid,
Hum Style Awards,Best Actress Popular,2025,Sajal Aly,Zard Patton Ka Bunn,
Hum Style Awards,Best Actor Jury,2025,Adnan Siddiqui,Khushbo Mein Basay Khat,
Hum Style Awards,Best Actress Jury,2025,Sajal Aly,Zard Patton Ka Bunn,
Hum Style Awards,Global Star Award,2025,Hania Aamir,,
Hum Style Awards,Best Drama Serial,2025,Zard Patton Ka Bunn,,
Hum Style Awards,Best Director Drama Serial,2025,Saife Hassan,Zard Patton Ka Bunn,
