year,ceremony,category,nominee,film,country,winner,source_url
1966,German Film Awards 1966,Best Director,Ulrich Schamoni,It,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
1966,German Film Awards 1966,Best Director,Young Törless,Der junge Törless,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
1966,German Film Awards 1966,Best Fiction Film,,Young Törless,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Fiction_Film
1967,German Film Awards 1967,Best Actress,Alexandra Kluge,Abschied von gestern,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Actress_in_a_Leading_Role
1967,German Film Awards 1967,Best Director,Alexander Kluge,Yesterday Girl,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
1967,German Film Awards 1967,Best Fiction Film,,Yesterday Girl,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Fiction_Film
1968,German Film Awards 1968,Best Actress,Thekla Carola Wied,Spur eines Mädchens,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Actress_in_a_Leading_Role
1968,German Film Awards 1968,Best Director,Johannes Schaaf,Tattoo,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
1968,German Film Awards 1968,Best Fiction Film,,Tattoo,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Fiction_Film
1969,German Film Awards 1969,Best Director,Peter Zadek,"I'm an Elephant, Madame",Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
1969,German Film Awards 1969,Best Fiction Film,,Artists Under the Big Top: Perplexed,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Fiction_Film
1970,German Film Awards 1970,Best Director,Award not given,Award not given,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
1970,German Film Awards 1970,Best Fiction Film,,Katzelmacher,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Fiction_Film
1970,German Film Awards 1970,Best Fiction Film,,Peter Lilienthal,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Fiction_Film
1971,German Film Awards 1971,Best Director,"Michael Fengler, Rainer Werner Fassbinder",Why Does Herr R. Run Amok?,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
1971,German Film Awards 1971,Best Director,The Sudden Wealth of the Poor People of Kombach,Der plötzliche Reichtum der armen Leute von Kombach,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
1971,German Film Awards 1971,Best Fiction Film,,First Love,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Fiction_Film
1971,German Film Awards 1971,Best Fiction Film,,George Moorse,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Fiction_Film
1972,German Film Awards 1972,Best Director,Johannes Schaaf,Trotta,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
1972,German Film Awards 1972,Best Director,Weights and Measures,Das falsche Gewicht,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
1972,German Film Awards 1972,Best Fiction Film,,Trotta,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Fiction_Film
1972,German Film Awards 1972,Best Fiction Film,,Hans-Jürgen Syberberg,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Fiction_Film
1973,German Film Awards 1973,Best Director,Award not given,Award not given,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
1973,German Film Awards 1973,Best Fiction Film,,The Experts,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Fiction_Film
1974,German Film Awards 1974,Best Director,Roland Klick,Supermarket,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
1974,German Film Awards 1974,Best Fiction Film,,The Pedestrian,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Fiction_Film
1975,German Film Awards 1975,Best Director,Wim Wenders,The Wrong Move,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
1975,German Film Awards 1975,Best Fiction Film,,Lina Braake,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Fiction_Film
1976,German Film Awards 1976,Best Director,Award not given,Award not given,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
1976,German Film Awards 1976,Best Fiction Film,,Calm Prevails Over the Country,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Fiction_Film
1977,German Film Awards 1977,Best Director,Volker Schlöndorff,Coup de Grâce,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
1977,German Film Awards 1977,Best Fiction Film,,Heinrich,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Fiction_Film
1978,German Film Awards 1978,Best Director,Rainer Werner Fassbinder,Despair,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
1978,German Film Awards 1978,Best Director,The American Friend,Der amerikanische Freund,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
1978,German Film Awards 1978,Best Fiction Film,,The Glass Cell,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Fiction_Film
1979,German Film Awards 1979,Best Director,Rainer Werner Fassbinder,The Marriage of Maria Braun,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
1979,German Film Awards 1979,Best Director,The Reign of Naples,Neapolitanische Geschwister,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
1979,German Film Awards 1979,Best Fiction Film,,The Tin Drum,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Fiction_Film
1980,German Film Awards 1980,Best Director,Heidi Genée,1+1=3,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
1980,German Film Awards 1980,Best Fiction Film,,The Last Years of Childhood,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Fiction_Film
1981,German Film Awards 1981,Best Director,Walter BockmayerRolf Bührmann,Looping,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
1981,German Film Awards 1981,Best Fiction Film,,A Lot of Bills to Pay,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Fiction_Film
1982,German Film Awards 1982,Best Director,Werner Schroeter,Day of the Idiots,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
1982,German Film Awards 1982,Best Fiction Film,,Marianne and Juliane,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Fiction_Film
1983,German Film Awards 1983,Best Director,Aufdermauer,Aufdermauer,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
1983,German Film Awards 1983,Best Director,Peter Lilienthal,Dear Mr. Wonderful,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
1983,German Film Awards 1983,Best Fiction Film,,The State of Things,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Fiction_Film
1984,German Film Awards 1984,Best Director,Josef Rusnak,Cold Fever,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
1984,German Film Awards 1984,Best Director,White Trash,Kanakerbraut,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
1984,German Film Awards 1984,Best Fiction Film,,Where the Green Ants Dream,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Fiction_Film
1985,German Film Awards 1985,Best Director,Grünstein's Clever Move,Die Grünstein-Variante,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
1985,German Film Awards 1985,Best Director,Maria Knilli,Dear Karl,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
1985,German Film Awards 1985,Best Fiction Film,,Colonel Redl,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Fiction_Film
1986,German Film Awards 1986,Best Director,Hans-Jürgen Syberberg,Die Nacht,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
1986,German Film Awards 1986,Best Fiction Film,,Rosa Luxemburg,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Fiction_Film
1987,German Film Awards 1987,Best Director,Peter Lilienthal,The Silence of the Poet,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
1987,German Film Awards 1987,Best Fiction Film,,No Golden Award was given.,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Fiction_Film
1988,German Film Awards 1988,Best Director,Dominik Graf,The Cat,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
1988,German Film Awards 1988,Best Fiction Film,,Wings of Desire,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Fiction_Film
1989,German Film Awards 1989,Best Director,Maria Theresia Wagner,Die Nacht des Marders,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
1989,German Film Awards 1989,Best Fiction Film,,Yasemin,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Fiction_Film
1990,German Film Awards 1990,Best Director,Spider's Web,Das Spinnennetz,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
1990,German Film Awards 1990,Best Director,Uli Edel,Last Exit to Brooklyn,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
1990,German Film Awards 1990,Best Fiction Film,,Last Exit to Brooklyn,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Fiction_Film
1991,German Film Awards 1991,Best Director,Werner Schroeter,Malina,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
1991,German Film Awards 1991,Best Fiction Film,,Malina,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Fiction_Film
1992,German Film Awards 1992,Best Director,Helmut Dietl,Schtonk!,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
1992,German Film Awards 1992,Best Fiction Film,,Schtonk!,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Fiction_Film
1993,German Film Awards 1993,Best Director,Adolf Winkelmann,North Curve,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
1993,German Film Awards 1993,Best Fiction Film,,No Golden Award was given.,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Fiction_Film
1994,German Film Awards 1994,Best Director,Peter Sehr,Kaspar Hauser,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
1994,German Film Awards 1994,Best Fiction Film,,Kaspar Hauser,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Fiction_Film
1995,German Film Awards 1995,Best Director,,Maybe… Maybe Not,Germany,1,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
1995,German Film Awards 1995,Best Director,,Keiner liebt mich,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
1995,German Film Awards 1995,Best Director,,Die Sieger,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
1995,German Film Awards 1995,Best Fiction Film,,Maybe... Maybe Not,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Fiction_Film
1996,German Film Awards 1996,Best Director,,Deathmaker,Germany,1,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
1996,German Film Awards 1996,Best Director,,Stadtgespräch,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
1996,German Film Awards 1996,Best Director,,Stille Nacht,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
1996,German Film Awards 1996,Best Fiction Film,,Deathmaker,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Fiction_Film
1997,German Film Awards 1997,Best Director,,Rossini,Germany,1,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
1997,German Film Awards 1997,Best Director,,Jenseits der Stille,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
1997,German Film Awards 1997,Best Director,,14 Tage lebenslänglich,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
1997,German Film Awards 1997,Best Fiction Film,,Rossini,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Fiction_Film
1998,German Film Awards 1998,Best Director,,The End of Violence,Germany,1,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
1998,German Film Awards 1998,Best Director,,Winterschläfer,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
1998,German Film Awards 1998,Best Director,,Comedian Harmonists,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
1998,German Film Awards 1998,Best Fiction Film,,The Harmonists,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Fiction_Film
1999,German Film Awards 1999,Best Director,,Run Lola Run,Germany,1,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
1999,German Film Awards 1999,Best Director,,Kurz und schmerzlos,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
1999,German Film Awards 1999,Best Director,,Nachtgestalten,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
1999,German Film Awards 1999,Best Fiction Film,,Run Lola Run,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Fiction_Film
2000,German Film Awards 2000,Best Director,,Heimspiel,Germany,1,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
2000,German Film Awards 2000,Best Director,The Million Dollar Hotel,The Million Dollar Hotel,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
2000,German Film Awards 2000,Best Director,Tuvalu,Tuvalu,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
2000,German Film Awards 2000,Best Documentary Film,,Buena Vista Social Club,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Documentary_Film
2000,German Film Awards 2000,Best Fiction Film,,No Place to Go,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Fiction_Film
2001,German Film Awards 2001,Best Director,,Alaska.de,Germany,1,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
2001,German Film Awards 2001,Best Director,,Die innere Sicherheit,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
2001,German Film Awards 2001,Best Director,,Der Krieger und die Kaiserin,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
2001,German Film Awards 2001,Best Documentary Film,,Havanna mi amor,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Documentary_Film
2001,German Film Awards 2001,Best Fiction Film,,The State I Am In,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Fiction_Film
2002,German Film Awards 2002,Best Director,,Nowhere in Africa,Germany,1,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
2002,German Film Awards 2002,Best Director,,Halbe Treppe,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
2002,German Film Awards 2002,Best Director,,Der Felsen,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
2002,German Film Awards 2002,Best Documentary Film,,Black Box BRD,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Documentary_Film
2002,German Film Awards 2002,Best Fiction Film,,Nowhere in Africa,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Fiction_Film
2003,German Film Awards 2003,Best Director,,"Good Bye, Lenin!",Germany,1,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
2003,German Film Awards 2003,Best Director,,Lichter,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
2003,German Film Awards 2003,Best Director,,Das fliegende Klassenzimmer,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
2003,German Film Awards 2003,Best Documentary Film,,Rivers and Tides,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Documentary_Film
2003,German Film Awards 2003,Best Fiction Film,,"Good Bye, Lenin!",Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Fiction_Film
2004,German Film Awards 2004,Best Director,,Head-On,Germany,1,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
2004,German Film Awards 2004,Best Director,,Das Wunder von Bern,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
2004,German Film Awards 2004,Best Director,Wolfsburg,Wolfsburg,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
2004,German Film Awards 2004,Best Documentary Film,,The Children Are Dead (Die Kinder sind tot),Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Documentary_Film
2004,German Film Awards 2004,Best Fiction Film,,Head-On,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Fiction_Film
2005,German Film Awards 2005,Best Director,,Go for Zucker,Germany,1,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
2005,German Film Awards 2005,Best Director,,Die fetten Jahre sind vorbei,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
2005,German Film Awards 2005,Best Director,,Der neunte Tag,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
2005,German Film Awards 2005,Best Documentary Film,,Rhythm Is It!,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Documentary_Film
2005,German Film Awards 2005,Best Fiction Film,,Go for Zucker,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Fiction_Film
2006,German Film Awards 2006,Best Director,,The Lives of Others,Germany,1,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
2006,German Film Awards 2006,Best Director,,Sommer vorm Balkon,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
2006,German Film Awards 2006,Best Director,Requiem,Requiem,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
2006,German Film Awards 2006,Best Documentary Film,,Lost Children,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Documentary_Film
2006,German Film Awards 2006,Best Fiction Film,,The Lives of Others,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Fiction_Film
2007,German Film Awards 2007,Best Director,,Grave Decisions,Germany,1,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
2007,German Film Awards 2007,Best Director,,Der freie Wille,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
2007,German Film Awards 2007,Best Director,,Vier Minuten,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
2007,German Film Awards 2007,Best Director,,Das Parfum - Die Geschichte eines Mörders,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
2007,German Film Awards 2007,Best Documentary Film,,Workingman's Death,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Documentary_Film
2007,German Film Awards 2007,Best Fiction Film,,Four Minutes,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Fiction_Film
2008,German Film Awards 2008,Best Director,,The Edge of Heaven,Germany,1,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
2008,German Film Awards 2008,Best Director,,Hanami - Kirschblüten,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
2008,German Film Awards 2008,Best Director,Yella,Yella,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
2008,German Film Awards 2008,Best Documentary Film,,Pool of Princesses (Prinzessinnenbad),Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Documentary_Film
2008,German Film Awards 2008,Best Fiction Film,,The Edge of Heaven,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Fiction_Film
2009,German Film Awards 2009,Best Director,,Cloud Nine,Germany,1,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
2009,German Film Awards 2009,Best Director,,Der Baader Meinhof Komplex,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
2009,German Film Awards 2009,Best Director,Jerichow,Jerichow,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
2009,German Film Awards 2009,Best Director,John Rabe,John Rabe,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
2009,German Film Awards 2009,Best Documentary Film,,NoBody's Perfect,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Documentary_Film
2009,German Film Awards 2009,Best Fiction Film,,John Rabe,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Fiction_Film
2010,German Film Awards 2010,Best Director,,The White Ribbon,Germany,1,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
2010,German Film Awards 2010,Best Director,Everyone Else,Everyone Else,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
2010,German Film Awards 2010,Best Director,Storm,Storm,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
