year,film,person,is_winner,raw_text,source_url
2006,Peter Morgan,The Queen,False,2006 [ 5 ] | Peter Morgan | The Queen,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Screenwriter_of_the_Year
2007,Florian Henckel von Donnersmarck,The Lives of Others,False,2007 [ 6 ] | Florian Henckel von Donnersmarck | The Lives of Others,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Screenwriter_of_the_Year
2008,Simon Beaufoy,Slumdog Millionaire,False,2008 [ 7 ] | Simon Beaufoy | Slumdog Millionaire,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Screenwriter_of_the_Year
2009,"Jesse Armstrong , Simon Blackwell , Armando Iannucci , and Tony Roche",In the Loop,False,"2009 [ 8 ] | Jesse Armstrong , Simon Blackwell , Armando Iannucci , and Tony Roche | In the Loop",https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Screenwriter_of_the_Year
2010,Aaron Sorkin,The Social Network,False,2010 [ 9 ] | Aaron Sorkin | The Social Network,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Screenwriter_of_the_Year
2011,Asghar Farhadi,A Separation,False,2011 [ 10 ] | Asghar Farhadi | A Separation,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Screenwriter_of_the_Year
2012,Michael Haneke,Amour,False,2012 [ 11 ] | Michael Haneke | Amour,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Screenwriter_of_the_Year
2013,Joel Coen and Ethan Coen,Inside Llewyn Davis,False,2013 [ 12 ] | Joel Coen and Ethan Coen (3) | Inside Llewyn Davis,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Screenwriter_of_the_Year
2014,Wes Anderson,The Grand Budapest Hotel,False,2014 [ 13 ] | Wes Anderson | The Grand Budapest Hotel,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Screenwriter_of_the_Year
2015,Tom McCarthy and Josh Singer,Spotlight,False,2015 [ 14 ] | Tom McCarthy and Josh Singer | Spotlight,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Screenwriter_of_the_Year
2016,Kenneth Lonergan,Manchester by the Sea,False,2016 [ 15 ] | Kenneth Lonergan | Manchester by the Sea,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Screenwriter_of_the_Year
2017,Martin McDonagh,"Three Billboards Outside Ebbing, Missouri",False,"2017 [ 16 ] | Martin McDonagh | Three Billboards Outside Ebbing, Missouri",https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Screenwriter_of_the_Year
2018,Deborah Davis and Tony McNamara,The Favourite,False,2018 [ 17 ] | Deborah Davis and Tony McNamara | The Favourite,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Screenwriter_of_the_Year
2019,Noah Baumbach,Marriage Story,False,2019 [ 18 ] | Noah Baumbach | Marriage Story,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Screenwriter_of_the_Year
2020,Chloé Zhao,Nomadland,False,2020 [ 19 ] | Chloé Zhao | Nomadland,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Screenwriter_of_the_Year
2021,Ryusuke Hamaguchi and Takamasa Oe,Drive My Car,False,2021 [ 20 ] | Ryusuke Hamaguchi and Takamasa Oe | Drive My Car,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Screenwriter_of_the_Year
2022,Martin McDonagh,The Banshees of Inisherin,False,2022 [ 21 ] | Martin McDonagh | The Banshees of Inisherin,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Screenwriter_of_the_Year
2023,Justine Triet & Arthur Harari,Anatomy of a Fall,False,2023 [ 22 ] | Justine Triet & Arthur Harari | Anatomy of a Fall,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Screenwriter_of_the_Year
2024,Jesse Eisenberg,A Real Pain,False,2024 [ 23 ] | Jesse Eisenberg | A Real Pain,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Screenwriter_of_the_Year
