year,ceremony,category,nominee,film,country,winner,source_url
1987,London Critics Circle 1987,Director of the Year,Full Metal Jacket,Stanley Kubrick,,0,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Director_of_the_Year
1987,London Critics Circle 1987,Film of the Year,,John Boorman,,1,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Film_of_the_Year
1987,London Critics Circle 1987,Screenwriter of the Year,Prick Up Your Ears,Alan Bennett (2),,0,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Screenwriter_of_the_Year
1988,London Critics Circle 1988,Director of the Year,The Dead,John Huston,,0,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Director_of_the_Year
1988,London Critics Circle 1988,Film of the Year,,David Mamet,,1,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Film_of_the_Year
1988,London Critics Circle 1988,Screenwriter of the Year,House of Games,David Mamet,,0,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Screenwriter_of_the_Year
1989,London Critics Circle 1989,Director of the Year,"Distant Voices, Still Lives",Terence Davies,,0,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Director_of_the_Year
1989,London Critics Circle 1989,Film of the Year,,Terence Davies,,1,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Film_of_the_Year
1989,London Critics Circle 1989,Screenwriter of the Year,Dangerous Liaisons,Christopher Hampton,,0,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Screenwriter_of_the_Year
1990,London Critics Circle 1990,Actor of the Year,Philippe Noiret,Cinema Paradiso,,1,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Actor_of_the_Year
1990,London Critics Circle 1990,Director of the Year,Crimes and Misdemeanors°,Woody Allen,,0,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Director_of_the_Year
1990,London Critics Circle 1990,Film of the Year,,Woody Allen,,1,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Film_of_the_Year
1990,London Critics Circle 1990,Screenwriter of the Year,Crimes and Misdemeanors,Woody Allen (2),,0,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Screenwriter_of_the_Year
1991,London Critics Circle 1991,Actor of the Year,Gérard Depardieu,Cyrano de Bergerac,,1,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Actor_of_the_Year
1991,London Critics Circle 1991,Actress of the Year,Susan Sarandon,Thelma & Louise,,1,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Actress_of_the_Year
1991,London Critics Circle 1991,Actress of the Year,Nora Baker,Nora Baker,,0,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Actress_of_the_Year
1991,London Critics Circle 1991,British Actor of the Year,Alan Rickman,"Close My Eyes, Truly, Madly, Deeply, Quigley Down Under, and Robin Hood: Prince of Thieves",,1,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actor_of_the_Year
1991,London Critics Circle 1991,British Film of the Year,,Life Is Sweet,,0,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Film_of_the_Year
1991,London Critics Circle 1991,Director of the Year,Thelma & Louise°,Ridley Scott,,0,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Director_of_the_Year
1991,London Critics Circle 1991,Film of the Year,,Ridley Scott,,1,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Film_of_the_Year
1991,London Critics Circle 1991,Screenwriter of the Year,Homicide,David Mamet (2),,0,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Screenwriter_of_the_Year
1992,London Critics Circle 1992,Actor of the Year,Robert Downey Jr.,Chaplin,,1,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Actor_of_the_Year
1992,London Critics Circle 1992,Actress of the Year,Judy Davis,Husbands and Wives,,1,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Actress_of_the_Year
1992,London Critics Circle 1992,Actress of the Year,Audrey Taylor,Audrey Taylor,,0,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Actress_of_the_Year
1992,London Critics Circle 1992,Actress of the Year,Joan Lee / Joan Frost,Joan Lee / Joan Frost,,0,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Actress_of_the_Year
1992,London Critics Circle 1992,British Actor of the Year,Daniel Day-Lewis,The Last of the Mohicans,,1,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actor_of_the_Year
1992,London Critics Circle 1992,British Film of the Year,,Howards End,,0,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Film_of_the_Year
1992,London Critics Circle 1992,Director of the Year,The Player°,Robert Altman,,0,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Director_of_the_Year
1992,London Critics Circle 1992,Film of the Year,,Clint Eastwood,,1,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Film_of_the_Year
1992,London Critics Circle 1992,Screenwriter of the Year,The Player,Michael Tolkin,,0,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Screenwriter_of_the_Year
1993,London Critics Circle 1993,Actor of the Year,Anthony Hopkins,The Remains of the Day,,1,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Actor_of_the_Year
1993,London Critics Circle 1993,Actress of the Year,Holly Hunter,The Piano,,1,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Actress_of_the_Year
1993,London Critics Circle 1993,British Actor of the Year,David Thewlis,Naked,,1,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actor_of_the_Year
1993,London Critics Circle 1993,British Actress of the Year,Miranda Richardson,Damage,,1,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actress_of_the_Year
1993,London Critics Circle 1993,British Film of the Year,,The Remains of the Day,,0,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Film_of_the_Year
1993,London Critics Circle 1993,Director of the Year,The Remains of the Day°,James Ivory,,0,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Director_of_the_Year
1993,London Critics Circle 1993,Film of the Year,,Jane Campion,,1,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Film_of_the_Year
1993,London Critics Circle 1993,Screenwriter of the Year,Groundhog Day,Harold Ramis and Danny Rubin,,0,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Screenwriter_of_the_Year
1994,London Critics Circle 1994,Actor of the Year,John Travolta,Pulp Fiction,,1,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Actor_of_the_Year
1994,London Critics Circle 1994,Actress of the Year,Linda Fiorentino,The Last Seduction,,1,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Actress_of_the_Year
1994,London Critics Circle 1994,British Actor of the Year,Ralph Fiennes,Schindler's List,,1,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actor_of_the_Year
1994,London Critics Circle 1994,British Actress of the Year,Crissy Rock,"Ladybird, Ladybird",,1,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actress_of_the_Year
1994,London Critics Circle 1994,British Film of the Year,,Four Weddings and a Funeral,,0,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Film_of_the_Year
1994,London Critics Circle 1994,Director of the Year,Schindler's List≈,Steven Spielberg,,0,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Director_of_the_Year
1994,London Critics Circle 1994,Film of the Year,,Steven Spielberg,,1,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Film_of_the_Year
1994,London Critics Circle 1994,Screenwriter of the Year,Pulp Fiction,Quentin Tarantino,,0,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Screenwriter_of_the_Year
1995,London Critics Circle 1995,Actor of the Year,Johnny Depp,"Ed Wood, Don Juan DeMarco",,1,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Actor_of_the_Year
1995,London Critics Circle 1995,Actress of the Year,Nicole Kidman,To Die For,,1,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Actress_of_the_Year
1995,London Critics Circle 1995,British Actor of the Year,Nigel Hawthorne,The Madness of King George,,1,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actor_of_the_Year
1995,London Critics Circle 1995,British Actress of the Year,Kate Winslet,Heavenly Creatures,,1,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actress_of_the_Year
1995,London Critics Circle 1995,British Film of the Year,,The Madness of King George,,0,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Film_of_the_Year
1995,London Critics Circle 1995,Director of the Year,Heavenly Creatures,Peter Jackson,,0,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Director_of_the_Year
1995,London Critics Circle 1995,Film of the Year,,Chris Noonan,,1,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Film_of_the_Year
1995,London Critics Circle 1995,Screenwriter of the Year,Quiz Show and Disclosure,Paul Attanasio,,0,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Screenwriter_of_the_Year
1996,London Critics Circle 1996,Actor of the Year,Morgan Freeman,Seven,,1,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Actor_of_the_Year
1996,London Critics Circle 1996,Actress of the Year,Frances McDormand,Fargo,,1,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Actress_of_the_Year
1996,London Critics Circle 1996,British Actor of the Year,Ewan McGregor,"Trainspotting, Brassed Off, Emma, and The Pillow Book",,1,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actor_of_the_Year
1996,London Critics Circle 1996,British Actor of the Year,Richard III,"Richard, Duke of Gloucester (King Richard III)",,1,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actor_of_the_Year
1996,London Critics Circle 1996,British Actress of the Year,Brenda Blethyn,Secrets & Lies,,1,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actress_of_the_Year
1996,London Critics Circle 1996,British Film of the Year,,Secrets & Lies,,0,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Film_of_the_Year
1996,London Critics Circle 1996,Director of the Year,Fargo°,Joel Coen,,0,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Director_of_the_Year
1996,London Critics Circle 1996,Film of the Year,,Joel Coen,,1,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Film_of_the_Year
1996,London Critics Circle 1996,Screenwriter of the Year,Fargo,Joel Coen and Ethan Coen,,0,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Screenwriter_of_the_Year
1997,London Critics Circle 1997,Actor of the Year,Geoffrey Rush,Shine,,1,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Actor_of_the_Year
1997,London Critics Circle 1997,Actress of the Year,Claire Danes,Romeo + Juliet,,1,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Actress_of_the_Year
1997,London Critics Circle 1997,British Actor of the Year,Robert Carlyle,"The Full Monty, Face, and Carla's Song",,1,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actor_of_the_Year
1997,London Critics Circle 1997,British Actress of the Year,Judi Dench,Mrs Brown,,1,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actress_of_the_Year
1997,London Critics Circle 1997,British Film of the Year,,The Full Monty,,0,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Film_of_the_Year
1997,London Critics Circle 1997,Director of the Year,L.A. Confidential°,Curtis Hanson,,0,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Director_of_the_Year
1997,London Critics Circle 1997,Film of the Year,,Curtis Hanson,,1,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Film_of_the_Year
1997,London Critics Circle 1997,Screenwriter of the Year,L.A. Confidential,Curtis Hanson and Brian Helgeland,,0,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Screenwriter_of_the_Year
1998,London Critics Circle 1998,Actor of the Year,Jack Nicholson,As Good as It Gets,,1,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Actor_of_the_Year
1998,London Critics Circle 1998,Actress of the Year,Cate Blanchett,Elizabeth,,1,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Actress_of_the_Year
1998,London Critics Circle 1998,British Actor of the Year,Brendan Gleeson,The General,,1,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actor_of_the_Year
1998,London Critics Circle 1998,British Actress of the Year,Helena Bonham Carter,The Wings of the Dove,,1,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actress_of_the_Year
1998,London Critics Circle 1998,British Actress of the Year,Afterglow,Phyllis Hart,,0,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actress_of_the_Year
1998,London Critics Circle 1998,British Actress of the Year,My Name Is Joe,Sarah Downie,,0,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actress_of_the_Year
1998,London Critics Circle 1998,British Actress of the Year,The Governess,Rosina da Silva / Mary Blackchurch,,0,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actress_of_the_Year
1998,London Critics Circle 1998,British Actress of the Year,The Horse Whisperer,Annie Maclean,,0,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actress_of_the_Year
1998,London Critics Circle 1998,British Actress of the Year,The Mask of Zorro,Elena Montero,,0,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actress_of_the_Year
1998,London Critics Circle 1998,British Actress of the Year,Titanic,Rose DeWitt Bukater,,0,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actress_of_the_Year
1998,London Critics Circle 1998,British Film of the Year,,"Lock, Stock and Two Smoking Barrels",,0,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Film_of_the_Year
1998,London Critics Circle 1998,Director of the Year,The Truman Show°,Peter Weir,,0,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Director_of_the_Year
1998,London Critics Circle 1998,Film of the Year,,Steven Spielberg,,1,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Film_of_the_Year
1998,London Critics Circle 1998,Film of the Year,,Paul Thomas Anderson,,0,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Film_of_the_Year
1998,London Critics Circle 1998,Film of the Year,,James Cameron,,0,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Film_of_the_Year
1998,London Critics Circle 1998,Film of the Year,,Ang Lee,,0,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Film_of_the_Year
1998,London Critics Circle 1998,Film of the Year,,Peter Weir,,0,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Film_of_the_Year
1998,London Critics Circle 1998,Screenwriter of the Year,The Truman Show and Gattaca,Andrew Niccol,,0,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Screenwriter_of_the_Year
1999,London Critics Circle 1999,Actor of the Year,Kevin Spacey,American Beauty,,1,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Actor_of_the_Year
1999,London Critics Circle 1999,Actress of the Year,Annette Bening,American Beauty,,1,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Actress_of_the_Year
1999,London Critics Circle 1999,British Actor of the Year,Jeremy Northam,"Happy, Texas, An Ideal Husband, and The Winslow Boy",,1,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actor_of_the_Year
1999,London Critics Circle 1999,British Actress of the Year,Emily Watson,Angela's Ashes and Hilary and Jackie,,1,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actress_of_the_Year
1999,London Critics Circle 1999,British Film of the Year,,East Is East,,0,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Film_of_the_Year
1999,London Critics Circle 1999,Director of the Year,American Beauty≈,Sam Mendes,,0,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Director_of_the_Year
1999,London Critics Circle 1999,Film of the Year,,Sam Mendes,,1,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Film_of_the_Year
1999,London Critics Circle 1999,Screenwriter of the Year,American Beauty,Alan Ball,,0,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Screenwriter_of_the_Year
2000,London Critics Circle 2000,Actor of the Year,Russell Crowe,Gladiator,,1,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Actor_of_the_Year
2000,London Critics Circle 2000,Actress of the Year,Julia Roberts,Erin Brockovich,,1,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Actress_of_the_Year
2000,London Critics Circle 2000,British Actor of the Year,Jim Broadbent,Topsy-Turvy,,1,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actor_of_the_Year
2000,London Critics Circle 2000,British Actress of the Year,Julie Walters,Billy Elliot,,1,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actress_of_the_Year
2000,London Critics Circle 2000,British Actress of the Year,Quills,"Madeleine ""Maddy"" LeClerc",,0,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actress_of_the_Year
2000,London Critics Circle 2000,British Actress of the Year,Saving Grace,Grace Trevethyn,,0,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actress_of_the_Year
2000,London Critics Circle 2000,British Actress of the Year,The Luzhin Defence,Natalia Katkov,,0,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actress_of_the_Year
2000,London Critics Circle 2000,British Actress of the Year,Tumbleweeds,Mary Jo Walker,,0,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actress_of_the_Year
2000,London Critics Circle 2000,British Film of the Year,,Billy Elliot,,0,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Film_of_the_Year
2000,London Critics Circle 2000,Director of the Year,Being John Malkovich°,Spike Jonze,,0,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Director_of_the_Year
2000,London Critics Circle 2000,Screenwriter of the Year,Being John Malkovich,Charlie Kaufman,,0,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Screenwriter_of_the_Year
2001,London Critics Circle 2001,Actor of the Year,Billy Bob Thornton,The Man Who Wasn't There,,1,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Actor_of_the_Year
2001,London Critics Circle 2001,Actress of the Year,Nicole Kidman,The Others,,1,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Actress_of_the_Year
2001,London Critics Circle 2001,Actress of the Year,Satine,Satine,,0,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Actress_of_the_Year
2001,London Critics Circle 2001,British Actor of the Year,Ewan McGregor,Moulin Rouge!,,1,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actor_of_the_Year
2001,London Critics Circle 2001,British Actress of the Year,Judi Dench,Iris,,1,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actress_of_the_Year
2001,London Critics Circle 2001,British Film of the Year,,Gosford Park,,0,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Film_of_the_Year
2001,London Critics Circle 2001,Director of the Year,Love's a Bitch (Amores perros),Alejandro González Iñárritu,,0,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Director_of_the_Year
2001,London Critics Circle 2001,Screenwriter of the Year,The Man Who Wasn't There,Joel Coen and Ethan Coen (2),,0,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Screenwriter_of_the_Year
2002,London Critics Circle 2002,Actor of the Year,Michael Caine,The Quiet American,,1,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Actor_of_the_Year
2002,London Critics Circle 2002,Actress of the Year,Stockard Channing,The Business of Strangers,,1,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Actress_of_the_Year
2002,London Critics Circle 2002,British Actor of the Year,Hugh Grant,About a Boy,,1,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actor_of_the_Year
2002,London Critics Circle 2002,British Actress of the Year,Lesley Manville,All or Nothing,,1,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actress_of_the_Year
2002,London Critics Circle 2002,British Actress of the Year,Morvern Callar,Morvern Callar,,0,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actress_of_the_Year
2002,London Critics Circle 2002,British Actress of the Year,Spider,Yvonne / Mrs. Cleg,,0,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actress_of_the_Year
2002,London Critics Circle 2002,British Film of the Year,,All or Nothing,,0,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Film_of_the_Year
2002,London Critics Circle 2002,Director of the Year,The Quiet American and Rabbit-Proof Fence,Phillip Noyce,,0,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Director_of_the_Year
2002,London Critics Circle 2002,Screenwriter of the Year,Lantana,Andrew Bovell,,0,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Screenwriter_of_the_Year
2003,London Critics Circle 2003,Actor of the Year,Sean Penn,Mystic River,,1,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Actor_of_the_Year
2003,London Critics Circle 2003,Actress of the Year,Julianne Moore,Far from Heaven,,1,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Actress_of_the_Year
2003,London Critics Circle 2003,British Actor of the Year,Paul Bettany,Master and Commander: The Far Side of the World,,1,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actor_of_the_Year
2003,London Critics Circle 2003,British Actress of the Year,Anne Reid,The Mother,,1,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actress_of_the_Year
2003,London Critics Circle 2003,British Actress of the Year,Annie Clarke,Annie Clarke,,0,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actress_of_the_Year
2003,London Critics Circle 2003,British Actress of the Year,Calendar Girls,Chris Harper,,0,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actress_of_the_Year
2003,London Critics Circle 2003,British Actress of the Year,Swimming Pool,Sarah Morton,,0,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actress_of_the_Year
2003,London Critics Circle 2003,British Actress of the Year,Young Adam,Ella Gault,,0,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Actress_of_the_Year
2003,London Critics Circle 2003,British Film of the Year,,The Magdalene Sisters,,0,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_British_Film_of_the_Year
2003,London Critics Circle 2003,Director of the Year,Mystic River°,Clint Eastwood,,0,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Director_of_the_Year
